Org. nr.,Navn ER,Navn GD,Overordnet enhet ER,Overordnet enhet GD,Antall ansatte ER,Antall ansatte GD,Differanse antall ansatte,Dataset ER,Sektorkode ER,Sektor ER,Aktivitet ER,Forretningsadresse - Kommune ER,Postadresse - Kommune ER,Organisasjonsform ER,NACE 1 ER,NACE 1 - Bransje ER,NACE 2 ER,NACE 2 - Bransje ER,NACE 3 ER,NACE 3 - Bransje ER,Organisasjonsform - Kode ER,Beliggenhetsadresse - Kommune ER,firfirmaid GD,Bedriftsstatus GD,Organisasjonsform GD,konsernopporgnr GD,Navn på overliggende enhet GD,Orgnr til toppenhet GD,Fylkesnavn GD,fylkesnavn GD,kommune_id GD,Kommunenummer GD,kommunenavn GD,Kommunenavn GD,Intervallkode antall ansatte GD,Omsetning i hele tusen GD,Driftsresultat i hele tusen GD,Dato for etablering GD,Sektorkode fra SSB GD,Privat eller offentlig GD,NACE-kategori (Første siffer) GD,Nacetittel1 GD,Bransjegruppe 1 GD,NACE-kategori (To første siffer) GD,NACE-kategori (Tre første siffer) GD,NACE-kategori (Fire første siffer) GD,NACE-kode (numerisk) GD,Y (UTM33) GD,X (UTM33) GD,load_date GD,Lon GD,Lat GD,Kode GD
914237645,Sushi & wok dattebayo,Sushi & Wok Dattebayo,914201055,914201055,19.0,19.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Midt-Telemark,15478836.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020.0,4020.0,Midt-Telemark,MIDT-TELEMARK,15-19,0.0,0.0,2014-10-01,,,5.0,Drift av restauranter,Overnattings- og serveringsvirksomhet,56.0,56.1,56.11,56.11,6601088.98,163662.3799999999,2025-12-05 03:21:50,"9,069500510390116","59,41338314967106",56110.0
914238889,Skien kommune enhet for enslige mindreårige flyktninger,Skien Kommune Enhet for Enslige Mindreårige Flyktninger,974636247,974636247,18.0,18.0,0.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,87.999,Andre botilbud innenfor sosiale tjenester ikke nevnt annet sted,,,,,BEDR,Skien,15478923.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,15-19,0.0,0.0,2014-07-01,,,8.0,Andre botilbud innenfor sosiale tjenester ikke nevnt annet sted,Helse- og sosialtjenester,87.0,87.9,87.99,87.999,6576055.23,192303.3899999997,2025-12-05 03:21:50,"9,607435218461141","59,21149107621857",87999.0
914261848,Lød AS,LØD AS,914223121,914223121,9.0,9.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,31.0,Produksjon av møbler,,,,,BEDR,Kragerø,15481021.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014.0,4014.0,Kragerø,KRAGERØ,5-9,0.0,0.0,2014-09-29,,,3.0,Produksjon av møbler,Industri,31.0,31.0,31.0,31.0,6539855.609999999,175396.23000000045,2025-12-05 03:21:50,"9,366123088734224","58,87539180535788",31000.0
914280354,Fiber.no AS,Fiber.No AS,914275504,914275504,11.0,11.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Kragerø,15482696.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014.0,4014.0,Kragerø,KRAGERØ,10-14,0.0,0.0,2014-09-29,,,4.0,Elektrisk installasjonsarbeid,Bygge- og anleggsvirksomhet,43.0,43.2,43.21,43.21,6539467.119999999,175486.04000000004,2025-12-05 03:21:50,"9,368239155181822","58,87198747024046",43210.0
914318777,Haugerud regnskapskontor as avd bø i Telemark,Haugerud Regnskapskontor AS,933249913,933249913,7.0,7.0,0.0,Underenhet,,,,,Midt-Telemark,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Midt-Telemark,15486216.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020.0,4020.0,Midt-Telemark,MIDT-TELEMARK,5-9,0.0,0.0,2014-10-17,,,6.0,Regnskapsføring og bokføring,"Faglig, vitenskapelig og teknisk tjenesteyting",69.0,69.2,69.2,69.202,6601114.65,163067.4500000002,2025-12-05 03:21:50,"9,05903540685421","59,41313681868991",69202.0
914326397,Borgestad bygg AS,Borgestad Bygg AS,914253454,914253454,18.0,18.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Skien,15487117.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,15-19,0.0,0.0,2014-09-25,,,4.0,Oppføring av bygninger,Bygge- og anleggsvirksomhet,41.0,41.0,41.0,41.0,6571226.970000001,191392.6100000004,2025-12-05 03:21:50,"9,598391943262083","59,16766303497883",41000.0
914336139,Tåtøy hovedgård AS,Tåtøy Hovedgård AS,914317657,914317657,6.0,6.0,0.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Kragerø,15487756.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014.0,4014.0,Kragerø,KRAGERØ,5-9,0.0,0.0,2014-10-09,,,6.0,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68.0,68.2,68.2,68.2,6538763.470000001,178054.5700000003,2025-12-05 03:21:50,"9,41358579599877","58,86762834500957",68200.0
914340527,Samir ferradji,Samir Ferradji,914311411,914311411,5.0,5.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,49.33,Passasjertransport på forespørsel utført av fører med kjøretøy,,,,,BEDR,Porsgrunn,15488255.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,5-9,0.0,0.0,2014-10-22,,,4.0,Passasjertransport på forespørsel utført av fører med kjøretøy,Transport og lagring,49.0,49.3,49.33,49.33,6564692.529999999,194731.1200000001,2025-12-05 03:21:50,"9,665652651505576","59,111645997860535",49330.0
914360684,Bjorstaddalen næring AS,Bjorstaddalen Næring AS,914335329,914335329,32.0,32.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,49.41,Godstransport på vei,,,,,BEDR,Skien,15489978.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,30-39,0.0,0.0,2014-10-06,,,4.0,Godstransport på vei,Transport og lagring,49.0,49.4,49.41,49.41,6567806.93,184329.3899999997,2025-12-05 03:21:50,"9,480359824322614","59,13190688348728",49410.0
914419395,Sykehuset Telemark hf ambulansetjenesten Seljord,Sykehuset Telemark HF Ambulansetjenesten Seljord,983975267,983975267,18.0,18.0,0.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,86.921,Ambulansetransport unntatt luftambulanse,,,,,BEDR,Seljord,15495212.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4022.0,4022.0,Seljord,SELJORD,15-19,0.0,0.0,2014-10-15,,,8.0,Ambulansetransport unntatt luftambulanse,Helse- og sosialtjenester,86.0,86.9,86.92,86.921,6610800.66,139411.5499999998,2025-12-05 03:21:50,"8,628504416728259","59,47999773797751",86921.0
914443180,Stendi as omsorgstjenester sør ot nenset,Stendi AS Omsorgstjenester Sør Ot Nenset,985194653,985194653,61.0,61.0,0.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,87.201,Omsorgstjenester i botilbud for personer med psykiske helseproblemer og/eller rusmiddelproblemer,,,,,BEDR,Skien,15497229.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,50-74,0.0,0.0,2013-08-01,,,8.0,Omsorgstjenester i botilbud for personer med psykiske helseproblemer og/eller rusmiddelproblemer,Helse- og sosialtjenester,87.0,87.2,87.2,87.201,6571386.15,193427.01999999955,2025-12-05 03:21:50,"9,633595600460296","59,170558242495666",87201.0
914443245,Stendi as region sør bv raskenlund,Stendi AS Region Sør Bv Raskenlund,985194653,985194653,6.0,6.0,0.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Porsgrunn,15497235.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,5-9,0.0,0.0,2014-04-01,,,8.0,Tjenester i barneverninstitusjoner,Helse- og sosialtjenester,87.0,87.9,87.99,87.991,6564722.050000001,194437.25,2025-12-05 03:21:50,"9,660502110226707","59,111699298339175",87991.0
914474043,Sykehuset Telemark hf ambulansetjenesten Vinje,Sykehuset Telemark HF Ambulansetjenesten Vinje,983975267,983975267,19.0,19.0,0.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,86.921,Ambulansetransport unntatt luftambulanse,,,,,BEDR,Vinje,15500180.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036.0,4036.0,Vinje,VINJE,15-19,0.0,0.0,2014-11-03,,,8.0,Ambulansetransport unntatt luftambulanse,Helse- og sosialtjenester,86.0,86.9,86.92,86.921,6624299.09,104573.83999999984,2025-12-05 03:21:50,"7,992977055374041","59,568980891359",86921.0
914475449,Fru tveit AS,FRU Tveit AS,914417058,914417058,6.0,6.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.761,"Detaljhandel med blomster, planter, gjødsel og plantevernmidler",,,,,BEDR,Nissedal,15500251.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4030.0,4030.0,Nissedal,NISSEDAL,5-9,0.0,0.0,2014-11-01,,,4.0,"Detaljhandel med blomster, planter, gjødsel og plantevernmidler",Varehandel,47.0,47.7,47.76,47.761,6560969.3094,128286.00239999963,2025-12-05 03:21:50,"8,518700001106373","59,025700001569426",47761.0
914512867,Multiconsult Norge as avd Skien lyngbakkvegen,Multiconsult Norge AS,918836519,918836519,24.0,24.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,71.129,Annen teknisk konsulentvirksomhet,,,,,BEDR,Skien,15504049.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,20-24,0.0,0.0,1987-04-01,,,7.0,Annen teknisk konsulentvirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",71.0,71.1,71.12,71.129,6570613.529999999,193357.5700000003,2025-12-05 03:21:50,"9,63347144640305","59,16360013532948",71129.0
914540046,Procano as avd Porsgrunn,Procano AS,989997149,989997149,25.0,25.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.2,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,BEDR,Porsgrunn,15506441.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,25-29,0.0,0.0,2012-01-15,,,6.0,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",62.0,62.2,62.2,62.2,6567776.02,193955.75999999972,2025-12-05 03:21:50,"9,64786134239063","59,13866027622675",62200.0
914552206,Varme & bad as avd fjord vvs,Varme & Bad AS,991603344,991603344,9.0,9.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.22,VVS-arbeid,,,,,BEDR,Bamble,15507702.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012.0,4012.0,Bamble,BAMBLE,5-9,0.0,0.0,2014-11-14,,,4.0,VVS-arbeid,Bygge- og anleggsvirksomhet,43.0,43.2,43.22,43.22,6556964.470000001,194090.1100000004,2025-12-05 03:21:50,"9,665271061048408","59,04208546731527",43220.0
914563666,Rjukan tannhelsesenter as avd Notodden,Rjukan Tannhelsesenter AS,983173977,983173977,5.0,5.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,86.23,Tannlegetjenester,,,,,BEDR,Notodden,15508708.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005.0,4005.0,Notodden,NOTODDEN,5-9,0.0,0.0,2014-12-01,,,8.0,Tannlegetjenester,Helse- og sosialtjenester,86.0,86.2,86.23,86.23,6616263.01,175832.58999999985,2025-12-05 03:21:50,"9,25978838971224","59,558511660172734",86230.0
914564999,Grep grenland as avd hovedkontor floodmyrvegen,Grep Grenland AS,990060460,990060460,8.0,8.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,88.993,Arbeidstrening og varig tilrettelagt arbeid,,,,,BEDR,Porsgrunn,15508803.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,5-9,0.0,0.0,2014-12-03,,,8.0,Arbeidstrening og varig tilrettelagt arbeid,Helse- og sosialtjenester,88.0,88.9,88.99,88.993,6566079.99,196343.9000000004,2025-12-05 03:21:50,"9,691770836971378","59,12520511798945",88993.0
914567661,Azets insight as avd grenland - Skien,Azets Insight AS,983338917,983338917,10.0,10.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Skien,15509166.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,10-14,0.0,0.0,2014-11-13,,,6.0,Regnskapsføring og bokføring,"Faglig, vitenskapelig og teknisk tjenesteyting",69.0,69.2,69.2,69.202,6574661.44,192553.7000000002,2025-12-05 03:21:50,"9,613767861290777","59,199211060785636",69202.0
914593026,Green mountain as avdeling rjukan,Green Mountain AS Avdeling Rjukan,994989391,994989391,19.0,19.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,63.1,"Datainfrastruktur, -behandling, -lagring og tilknyttede tjenester",,,,,BEDR,Tinn,15511382.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4026.0,4026.0,Tinn,TINN,15-19,0.0,0.0,2014-11-06,,,6.0,"Datainfrastruktur, -behandling, -lagring og tilknyttede tjenester","Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",63.0,63.1,63.1,63.1,6655450.9625,140977.6673999997,2025-12-05 03:21:50,"8,579900000135401","59,87980000136135",63100.0
914611032,Porsgrunn kommune badebetjenter porsgrunnshallen,Porsgrunn Kommune Badebetjenter Porsgrunnshallen,939991034,939991034,24.0,24.0,0.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,93.11,Drift av idrettsanlegg,,,,,BEDR,Porsgrunn,15513313.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,20-24,0.0,0.0,2014-12-01,,,9.0,Drift av idrettsanlegg,"Kulturell virksomhet, idrett og fritidsaktiviteter",93.0,93.1,93.11,93.11,6567783.66,195237.7199999997,2025-12-05 03:21:50,"9,670157284911229","59,139648490080255",93110.0
