Kommune,År,Sektor,Utslippskilde,Utslipp
Tinn,2020,Oppvarming,Bioenergi,0.05
Tinn,2020,Oppvarming,LPG,0.13
Tinn,2020,Oppvarming,Naturgass,0.0
Tinn,2020,Sjøfart,Havbruk,0.0
Tinn,2020,Sjøfart,Offshore,0.0
Tinn,2020,Sjøfart,Passasjer,0.0
Tinn,2020,Veitrafikk,Busser,266.86
Tinn,2020,Veitrafikk,Busser,4.57
Tinn,2020,Veitrafikk,Personbiler,29.67
Tinn,2020,Veitrafikk,Tunge kjøretøy,19.36
Tinn,2020,Veitrafikk,Varebiler,1204.43
Tinn,2020,Veitrafikk,Varebiler,13.17
Tinn,2021,Annen mobil forbrenning,Andre næringer  ,4.07
Tinn,2021,Annen mobil forbrenning,Behandling av avfall  ,1.97
Tinn,2021,Annen mobil forbrenning,Jordbruk  ,4.03
Tinn,2021,Annen mobil forbrenning,Skogbruk  ,184.05
Tinn,2021,Annen mobil forbrenning,Skogbruk  ,2.02
Tinn,2021,Annen mobil forbrenning,Tjenester tilknyttet transport  ,238.62
Tinn,2021,Avfall og avløp,Avløp,57.84
Tinn,2021,Avfall og avløp,Biologisk behandling av avfall,1.2
Tinn,2021,Bruk av produkter med fluorgasser,Bruk av HFK,800.01
Tinn,2021,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Tinn,2021,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Tinn,2021,"Industri, olje og gass","Industri, olje og gass",0.0
Tinn,2021,Jordbruk,Fordøyelsesprosesser husdyr,3846.5
Tinn,2021,Jordbruk,Gjødselhåndtering,348.02
Tinn,2021,Jordbruk,Jordbruksarealer,122.25
Tinn,2021,Oppvarming,Annet,0.0
Tinn,2021,Oppvarming,Bioenergi,1.33
Tinn,2021,Oppvarming,Fossil olje,5.32
Tinn,2021,Oppvarming,Fyringsparafin,2.64
Tinn,2021,Oppvarming,Fyringsparafin,0.01
Tinn,2021,Oppvarming,LPG,70.68
Tinn,2021,Sjøfart,Andre aktiviteter,0.0
Tinn,2021,Sjøfart,Cruise,0.0
Tinn,2021,Sjøfart,Oljetanker,0.0
Tinn,2021,Veitrafikk,Personbiler,11.91
Tinn,2021,Veitrafikk,Tunge kjøretøy,0.07
Tinn,2022,Annen mobil forbrenning,Andre næringer  ,1334.74
Tinn,2022,Annen mobil forbrenning,Behandling av avfall  ,0.23
Tinn,2022,Annen mobil forbrenning,Bygg og anlegg  ,3317.14
Tinn,2022,Annen mobil forbrenning,Jordbruk  ,0.56
Tinn,2022,Annen mobil forbrenning,Snøscooter,177.45
Tinn,2022,Annen mobil forbrenning,Tjenester tilknyttet transport  ,3.11
Tinn,2022,Avfall og avløp,Avfallsdeponigass,2145.11
Tinn,2022,Avfall og avløp,Biologisk behandling av avfall,1.88
Tinn,2022,Bruk av produkter med fluorgasser,Bruk av SF6,59.95
Tinn,2022,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Tinn,2022,Luftfart,Innenriks luftfart,0.0
Tinn,2022,Luftfart,Utenriks luftfart,0.0
Tinn,2022,Luftfart,Utenriks luftfart,0.0
Tinn,2022,Oppvarming,Annet,0.0
Tinn,2022,Oppvarming,LPG,0.06
Tinn,2022,Sjøfart,*Estimat sjøfart,0.0
Tinn,2022,Sjøfart,Andre offshorefartøy,0.0
Tinn,2022,Sjøfart,Andre servicefartøy,0.99
Tinn,2022,Sjøfart,Container/RoRo,0.0
Tinn,2022,Sjøfart,Fiskefartøy,0.0
Tinn,2022,Sjøfart,Kjemikalie-/produkttanker,0.0
Tinn,2022,Sjøfart,Tørrbulk,0.0
Tinn,2022,Veitrafikk,Busser,0.03
Tinn,2023,Annen mobil forbrenning,Andre næringer  ,18.92
Tinn,2023,Annen mobil forbrenning,Jordbruk  ,316.39
Tinn,2023,Annen mobil forbrenning,Skogbruk  ,0.25
Tinn,2023,Annen mobil forbrenning,Tjenester tilknyttet transport  ,0.36
Tinn,2023,Avfall og avløp,Avløp,75.81
Tinn,2023,Avfall og avløp,Biologisk behandling av avfall,0.0
Tinn,2023,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Tinn,2023,Luftfart,Innenriks luftfart,0.0
Tinn,2023,Oppvarming,Bioenergi,0.05
Tinn,2023,Oppvarming,Fossil olje,0.02
Tinn,2023,Oppvarming,LPG,0.42
Tinn,2023,Oppvarming,Naturgass,0.0
Tinn,2023,Oppvarming,Vedfyring,26.27
Tinn,2023,Sjøfart,Havbruk,0.0
Tinn,2023,Sjøfart,Offshore,0.0
Tinn,2023,Sjøfart,Passasjer,0.0
Tinn,2023,Sjøfart,Stykkgods,0.0
Tinn,2023,Veitrafikk,Busser,5.18
Tinn,2023,Veitrafikk,Personbiler,2564.55
Tinn,2023,Veitrafikk,Personbiler,26.98
Tinn,2023,Veitrafikk,Tunge kjøretøy,1433.31
Tinn,2023,Veitrafikk,Varebiler,1405.75
Tinn,2023,Veitrafikk,Varebiler,16.6
Tinn,2024,Annen mobil forbrenning,Andre næringer  ,4.81
Tinn,2024,Annen mobil forbrenning,Behandling av avfall  ,55.18
Tinn,2024,Annen mobil forbrenning,Bygg og anlegg  ,4.92
Tinn,2024,Annen mobil forbrenning,Jordbruk  ,3.5
Tinn,2024,Annen mobil forbrenning,Skogbruk  ,126.88
Tinn,2024,Annen mobil forbrenning,Skogbruk  ,1.45
Tinn,2024,Annen mobil forbrenning,Snøscooter,32.03
Tinn,2024,Annen mobil forbrenning,Tjenester tilknyttet transport  ,240.26
Tinn,2024,Avfall og avløp,Avløp,306.14
Tinn,2024,Avfall og avløp,Biologisk behandling av avfall,1.05
Tinn,2024,Bruk av produkter med fluorgasser,Bruk av HFK,737.16
Tinn,2024,"Industri, olje og gass","Industri, olje og gass",382.0
Tinn,2024,Jordbruk,Fordøyelsesprosesser husdyr,3306.3
Tinn,2024,Jordbruk,Gjødselhåndtering,308.35
Tinn,2024,Jordbruk,Jordbruksarealer,176.08
Tinn,2024,Luftfart,Innenriks luftfart,0.0
Tinn,2024,Luftfart,Utenriks luftfart,0.0
Tinn,2024,Oppvarming,Annet,0.0
Tinn,2024,Oppvarming,Bioenergi,0.86
Tinn,2024,Oppvarming,Fossil olje,4.01
Tinn,2024,Oppvarming,Fyringsparafin,0.0
Tinn,2024,Oppvarming,Fyringsparafin,0.0
Tinn,2024,Oppvarming,Vedfyring,927.04
Tinn,2024,Sjøfart,Andre aktiviteter,0.42
Tinn,2024,Sjøfart,Cruise,0.0
Tinn,2024,Sjøfart,Oljetanker,0.0
Kviteseid,2009,Annen mobil forbrenning,Andre næringer  ,375.58
Kviteseid,2009,Annen mobil forbrenning,Behandling av avfall  ,0.02
Kviteseid,2009,Annen mobil forbrenning,Bygg og anlegg  ,558.06
Kviteseid,2009,Annen mobil forbrenning,Skogbruk  ,1.69
Kviteseid,2009,Annen mobil forbrenning,Tjenester tilknyttet transport  ,109.63
Kviteseid,2009,Avfall og avløp,Avløp,0.0
Kviteseid,2009,Bruk av produkter med fluorgasser,Bruk av SF6,30.65
Kviteseid,2009,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Kviteseid,2009,Jordbruk,Jordbruksarealer,1120.54
Kviteseid,2009,Luftfart,Innenriks luftfart,0.0
Kviteseid,2009,Luftfart,Utenriks luftfart,0.0
Kviteseid,2009,Oppvarming,Bioenergi,0.54
Kviteseid,2009,Oppvarming,LPG,9.32
Kviteseid,2009,Oppvarming,Naturgass,0.0
Kviteseid,2009,Sjøfart,Andre aktiviteter,0.0
Kviteseid,2009,Sjøfart,Fiskefartøy,0.0
Kviteseid,2009,Sjøfart,Gasstankskip,0.0
Kviteseid,2009,Sjøfart,Kjemikalie-/produkttanker,0.0
Kviteseid,2009,Sjøfart,Tørrbulk,0.0
Kviteseid,2009,Veitrafikk,Busser,0.07
Kviteseid,2011,Annen mobil forbrenning,Andre næringer  ,3.18
Kviteseid,2011,Annen mobil forbrenning,Behandling av avfall  ,26.21
Kviteseid,2011,Annen mobil forbrenning,Behandling av avfall  ,0.3
Kviteseid,2011,Annen mobil forbrenning,Jordbruk  ,354.71
Kviteseid,2011,Annen mobil forbrenning,Skogbruk  ,216.06
Kviteseid,2011,Annen mobil forbrenning,Snøscooter,10.96
Kviteseid,2011,Avfall og avløp,Avløp,256.3
Kviteseid,2011,Avfall og avløp,Biologisk behandling av avfall,0.0
Kviteseid,2011,Avfall og avløp,Biologisk behandling av avfall,20.31
Kviteseid,2011,Bruk av produkter med fluorgasser,Bruk av HFK,493.29
Kviteseid,2011,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Kviteseid,2011,Jordbruk,Fordøyelsesprosesser husdyr,3877.31
Kviteseid,2011,Jordbruk,Gjødselhåndtering,299.41
Kviteseid,2011,Luftfart,Innenriks luftfart,0.0
Kviteseid,2011,Luftfart,Utenriks luftfart,0.0
Kviteseid,2011,Oppvarming,Annet,26.57
Kviteseid,2011,Oppvarming,Annet,0.0
Kviteseid,2011,Oppvarming,Bioenergi,0.03
Kviteseid,2011,Oppvarming,Fossil olje,95.13
Kviteseid,2011,Oppvarming,Fyringsparafin,30.9
Kviteseid,2011,Oppvarming,LPG,0.03
Kviteseid,2011,Oppvarming,Vedfyring,582.26
Kviteseid,2011,Sjøfart,Cruise,0.0
Kviteseid,2011,Sjøfart,Oljetanker,0.0
Kviteseid,2011,Veitrafikk,Busser,0.74
Kviteseid,2011,Veitrafikk,Personbiler,11.41
Kviteseid,2013,Annen mobil forbrenning,Andre næringer  ,6.33
Kviteseid,2013,Annen mobil forbrenning,Bygg og anlegg  ,8.77
Kviteseid,2013,Annen mobil forbrenning,Jordbruk  ,0.5
Kviteseid,2013,Annen mobil forbrenning,Skogbruk  ,0.31
Kviteseid,2013,Annen mobil forbrenning,Snøscooter,64.61
Kviteseid,2013,Annen mobil forbrenning,Tjenester tilknyttet transport  ,1.48
Kviteseid,2013,Avfall og avløp,Avfallsdeponigass,1778.05
Kviteseid,2013,Avfall og avløp,Avløp,32.64
Kviteseid,2013,Avfall og avløp,Biologisk behandling av avfall,395.45
Kviteseid,2013,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Kviteseid,2013,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Kviteseid,2013,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Kviteseid,2013,Jordbruk,Gjødselhåndtering,0.0
Kviteseid,2013,Luftfart,Innenriks luftfart,0.0
Kviteseid,2013,Luftfart,Utenriks luftfart,0.0
Kviteseid,2013,Oppvarming,Annet,0.0
Kviteseid,2013,Oppvarming,Fossil olje,0.15
Kviteseid,2013,Oppvarming,Fyringsparafin,0.04
Kviteseid,2013,Oppvarming,LPG,0.01
Kviteseid,2013,Oppvarming,Vedfyring,13.08
Kviteseid,2013,Sjøfart,*Estimat sjøfart,0.0
Kviteseid,2013,Sjøfart,Andre offshorefartøy,0.0
Kviteseid,2013,Sjøfart,Andre servicefartøy,0.0
Kviteseid,2013,Sjøfart,Offshore,0.0
Kviteseid,2013,Sjøfart,Passasjer,0.0
Kviteseid,2013,Sjøfart,Stykkgods,0.0
Kviteseid,2013,Veitrafikk,Personbiler,3655.7
Kviteseid,2013,Veitrafikk,Tunge kjøretøy,2269.14
Kviteseid,2013,Veitrafikk,Varebiler,1412.45
Kviteseid,2015,Annen mobil forbrenning,Bygg og anlegg  ,528.78
Kviteseid,2015,Annen mobil forbrenning,Jordbruk  ,3.45
Kviteseid,2015,Annen mobil forbrenning,Skogbruk  ,1.51
Kviteseid,2015,Annen mobil forbrenning,Tjenester tilknyttet transport  ,163.5
Kviteseid,2015,Bruk av produkter med fluorgasser,Bruk av SF6,33.15
Kviteseid,2015,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Kviteseid,2015,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Kviteseid,2015,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2015,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2015,Jordbruk,Jordbruksarealer,58.17
Kviteseid,2015,Luftfart,Innenriks luftfart,0.0
Kviteseid,2015,Luftfart,Utenriks luftfart,0.0
Kviteseid,2015,Oppvarming,Bioenergi,0.52
Kviteseid,2015,Oppvarming,Fossil olje,0.13
Kviteseid,2015,Oppvarming,Fyringsparafin,0.0
Kviteseid,2015,Oppvarming,Naturgass,0.0
Kviteseid,2015,Sjøfart,Andre aktiviteter,0.0
Kviteseid,2015,Sjøfart,Container/RoRo,0.0
Kviteseid,2015,Sjøfart,Fiskefartøy,0.0
Kviteseid,2015,Veitrafikk,Busser,0.04
Kviteseid,2015,Veitrafikk,Tunge kjøretøy,0.23
Kviteseid,2015,Veitrafikk,Varebiler,1.66
Kviteseid,2016,Annen mobil forbrenning,Andre næringer  ,2.29
Kviteseid,2016,Annen mobil forbrenning,Behandling av avfall  ,0.05
Kviteseid,2016,Annen mobil forbrenning,Bygg og anlegg  ,6.56
Kviteseid,2016,Annen mobil forbrenning,Jordbruk  ,0.48
Kviteseid,2016,Annen mobil forbrenning,Skogbruk  ,0.17
Kviteseid,2016,Annen mobil forbrenning,Snøscooter,69.48
Kviteseid,2016,Annen mobil forbrenning,Tjenester tilknyttet transport  ,1.66
Kviteseid,2016,Avfall og avløp,Avfallsdeponigass,1484.63
Kviteseid,2016,Avfall og avløp,Avløp,0.0
Kviteseid,2016,Avfall og avløp,Biologisk behandling av avfall,192.26
Kviteseid,2016,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Kviteseid,2016,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Kviteseid,2016,Jordbruk,Gjødselhåndtering,0.0
Kviteseid,2016,Jordbruk,Jordbruksarealer,1000.98
Kviteseid,2016,Luftfart,Innenriks luftfart,0.0
Kviteseid,2016,Luftfart,Utenriks luftfart,0.0
Kviteseid,2016,Oppvarming,Annet,0.0
Kviteseid,2016,Oppvarming,Fossil olje,0.13
Kviteseid,2016,Oppvarming,Fyringsparafin,0.0
Kviteseid,2016,Oppvarming,LPG,0.01
Kviteseid,2016,Oppvarming,Vedfyring,14.13
Kviteseid,2016,Sjøfart,*Estimat sjøfart,0.0
Kviteseid,2016,Sjøfart,Andre offshorefartøy,0.0
Kviteseid,2016,Sjøfart,Andre servicefartøy,0.0
Kviteseid,2016,Sjøfart,Gasstankskip,0.0
Kviteseid,2016,Sjøfart,Offshore,0.0
Kviteseid,2016,Sjøfart,Stykkgods,0.0
Kviteseid,2016,Veitrafikk,Personbiler,3342.36
Kviteseid,2016,Veitrafikk,Tunge kjøretøy,2307.47
Kviteseid,2016,Veitrafikk,Varebiler,1384.64
Kviteseid,2017,Annen mobil forbrenning,Andre næringer  ,1.77
Kviteseid,2017,Annen mobil forbrenning,Behandling av avfall  ,32.26
Kviteseid,2017,Annen mobil forbrenning,Bygg og anlegg  ,1.04
Kviteseid,2017,Annen mobil forbrenning,Jordbruk  ,321.28
Kviteseid,2017,Annen mobil forbrenning,Snøscooter,0.31
Kviteseid,2017,Annen mobil forbrenning,Tjenester tilknyttet transport  ,0.15
Kviteseid,2017,Avfall og avløp,Biologisk behandling av avfall,93.89
Kviteseid,2017,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Kviteseid,2017,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Kviteseid,2017,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2017,Jordbruk,Gjødselhåndtering,356.22
Kviteseid,2017,Jordbruk,Jordbruksarealer,0.83
Kviteseid,2017,Luftfart,Innenriks luftfart,0.0
Kviteseid,2017,Luftfart,Utenriks luftfart,0.0
Kviteseid,2017,Oppvarming,Bioenergi,0.0
Kviteseid,2017,Oppvarming,Bioenergi,0.03
Kviteseid,2017,Oppvarming,Fossil olje,40.47
Kviteseid,2017,Oppvarming,Fyringsparafin,2.24
Kviteseid,2017,Oppvarming,LPG,0.04
Kviteseid,2017,Oppvarming,Naturgass,0.0
Kviteseid,2017,Oppvarming,Vedfyring,428.65
Kviteseid,2017,Sjøfart,Cruise,0.0
Kviteseid,2017,Sjøfart,Havbruk,0.0
Kviteseid,2017,Sjøfart,Oljetanker,0.0
Kviteseid,2017,Veitrafikk,Busser,237.04
Kviteseid,2017,Veitrafikk,Personbiler,26.57
Kviteseid,2017,Veitrafikk,Tunge kjøretøy,22.83
Kviteseid,2017,Veitrafikk,Varebiler,10.14
Kviteseid,2018,Annen mobil forbrenning,Behandling av avfall  ,0.4
Kviteseid,2018,Annen mobil forbrenning,Bygg og anlegg  ,643.14
Kviteseid,2018,Annen mobil forbrenning,Jordbruk  ,3.59
Kviteseid,2018,Annen mobil forbrenning,Skogbruk  ,1.82
Kviteseid,2018,Annen mobil forbrenning,Snøscooter,13.01
Kviteseid,2018,Bruk av produkter med fluorgasser,Bruk av SF6,25.0
Kviteseid,2018,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Kviteseid,2018,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Kviteseid,2018,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2018,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2018,Jordbruk,Fordøyelsesprosesser husdyr,3227.48
Kviteseid,2018,Jordbruk,Gjødselhåndtering,309.01
Kviteseid,2018,Jordbruk,Jordbruksarealer,71.57
Kviteseid,2018,Oppvarming,Fossil olje,0.08
Kviteseid,2018,Oppvarming,Fyringsparafin,0.0
Kviteseid,2018,Oppvarming,Naturgass,0.0
Kviteseid,2018,Sjøfart,Andre aktiviteter,0.0
Kviteseid,2018,Sjøfart,Container/RoRo,0.0
Kviteseid,2018,Sjøfart,Fiskefartøy,0.0
Kviteseid,2018,Veitrafikk,Personbiler,11.35
Kviteseid,2018,Veitrafikk,Tunge kjøretøy,0.16
Kviteseid,2018,Veitrafikk,Varebiler,2.74
Kviteseid,2019,Annen mobil forbrenning,Andre næringer  ,257.32
Kviteseid,2019,Annen mobil forbrenning,Behandling av avfall  ,0.04
Kviteseid,2019,Annen mobil forbrenning,Bygg og anlegg  ,6.66
Kviteseid,2019,Annen mobil forbrenning,Jordbruk  ,0.49
Kviteseid,2019,Annen mobil forbrenning,Skogbruk  ,0.14
Kviteseid,2019,Annen mobil forbrenning,Snøscooter,69.25
Kviteseid,2019,Annen mobil forbrenning,Tjenester tilknyttet transport  ,1.12
Kviteseid,2019,Avfall og avløp,Avløp,0.0
Kviteseid,2019,Avfall og avløp,Biologisk behandling av avfall,272.59
Kviteseid,2019,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Kviteseid,2019,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Kviteseid,2019,Jordbruk,Gjødselhåndtering,0.0
Kviteseid,2019,Jordbruk,Jordbruksarealer,993.18
Kviteseid,2019,Luftfart,Innenriks luftfart,0.0
Kviteseid,2019,Luftfart,Utenriks luftfart,0.0
Kviteseid,2019,Oppvarming,Annet,0.0
Kviteseid,2019,Oppvarming,Fossil olje,0.07
Kviteseid,2019,Oppvarming,Fyringsparafin,0.0
Kviteseid,2019,Oppvarming,LPG,16.25
Kviteseid,2019,Oppvarming,Naturgass,0.0
Kviteseid,2019,Oppvarming,Vedfyring,9.42
Kviteseid,2019,Sjøfart,Gasstankskip,0.0
Kviteseid,2019,Sjøfart,Kjemikalie-/produkttanker,0.0
Kviteseid,2019,Sjøfart,Stykkgods,0.0
Kviteseid,2019,Sjøfart,Tørrbulk,0.0
Kviteseid,2019,Veitrafikk,Personbiler,2783.95
Kviteseid,2019,Veitrafikk,Tunge kjøretøy,2259.6
Kviteseid,2020,Annen mobil forbrenning,Behandling av avfall  ,30.68
Kviteseid,2020,Annen mobil forbrenning,Bygg og anlegg  ,0.54
Kviteseid,2020,Annen mobil forbrenning,Snøscooter,0.38
Kviteseid,2020,Annen mobil forbrenning,Tjenester tilknyttet transport  ,0.22
Kviteseid,2020,Avfall og avløp,Avløp,29.03
Kviteseid,2020,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Kviteseid,2020,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Kviteseid,2020,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Kviteseid,2020,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2020,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Kviteseid,2020,Jordbruk,Gjødselhåndtering,358.54
Kviteseid,2020,Jordbruk,Jordbruksarealer,0.33
Kviteseid,2020,Luftfart,Innenriks luftfart,0.0
Kviteseid,2020,Luftfart,Utenriks luftfart,0.0
Kviteseid,2020,Oppvarming,Bioenergi,0.0
Kviteseid,2020,Oppvarming,Naturgass,0.0
Kviteseid,2020,Oppvarming,Vedfyring,324.99
Kviteseid,2020,Sjøfart,Cruise,0.0
Kviteseid,2020,Sjøfart,Havbruk,0.0
Kviteseid,2020,Sjøfart,Oljetanker,0.0
Kviteseid,2020,Sjøfart,Passasjer,0.0
Kviteseid,2020,Veitrafikk,Busser,223.14
Kviteseid,2020,Veitrafikk,Personbiler,24.45
Kviteseid,2020,Veitrafikk,Tunge kjøretøy,28.89
Kviteseid,2020,Veitrafikk,Varebiler,10.99
Kviteseid,2021,Annen mobil forbrenning,Behandling av avfall  ,0.5
Kviteseid,2021,Annen mobil forbrenning,Jordbruk  ,327.98
Kviteseid,2021,Annen mobil forbrenning,Jordbruk  ,3.61
Kviteseid,2021,Annen mobil forbrenning,Skogbruk  ,167.85
Kviteseid,2021,Annen mobil forbrenning,Snøscooter,13.12
Kviteseid,2021,Avfall og avløp,Avløp,239.47
Kviteseid,2021,Avfall og avløp,Biologisk behandling av avfall,0.0
Kviteseid,2021,Bruk av produkter med fluorgasser,Bruk av HFK,486.62
Kviteseid,2021,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Kviteseid,2021,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2021,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2021,Jordbruk,Fordøyelsesprosesser husdyr,2755.67
Kviteseid,2021,Jordbruk,Gjødselhåndtering,314.47
Kviteseid,2021,Jordbruk,Jordbruksarealer,109.3
Kviteseid,2021,Oppvarming,Annet,16.21
Kviteseid,2021,Oppvarming,Annet,0.0
Kviteseid,2021,Oppvarming,Bioenergi,0.03
Kviteseid,2021,Oppvarming,Fossil olje,0.0
Kviteseid,2021,Oppvarming,Fyringsparafin,0.0
Kviteseid,2021,Oppvarming,Naturgass,0.0
Kviteseid,2021,Veitrafikk,Busser,2.65
Kviteseid,2021,Veitrafikk,Personbiler,10.75
Kviteseid,2021,Veitrafikk,Tunge kjøretøy,0.1
Kviteseid,2021,Veitrafikk,Varebiler,3.12
Kviteseid,2022,Annen mobil forbrenning,Andre næringer  ,208.97
Kviteseid,2022,Annen mobil forbrenning,Behandling av avfall  ,0.05
Kviteseid,2022,Annen mobil forbrenning,Bygg og anlegg  ,4.16
Kviteseid,2022,Annen mobil forbrenning,Snøscooter,71.12
Kviteseid,2022,Annen mobil forbrenning,Tjenester tilknyttet transport  ,61.62
Kviteseid,2022,Annen mobil forbrenning,Tjenester tilknyttet transport  ,0.72
Kviteseid,2022,Avfall og avløp,Avløp,0.0
Kviteseid,2022,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Kviteseid,2022,Jordbruk,Gjødselhåndtering,0.0
Kviteseid,2022,Jordbruk,Jordbruksarealer,1235.66
Kviteseid,2022,Luftfart,Innenriks luftfart,0.0
Kviteseid,2022,Luftfart,Utenriks luftfart,0.0
Kviteseid,2022,Oppvarming,Bioenergi,0.54
Kviteseid,2022,Oppvarming,Fossil olje,0.01
Kviteseid,2022,Oppvarming,Fyringsparafin,0.0
Kviteseid,2022,Oppvarming,LPG,17.43
Kviteseid,2022,Oppvarming,Naturgass,0.0
Kviteseid,2022,Sjøfart,Gasstankskip,0.0
Kviteseid,2022,Sjøfart,Kjemikalie-/produkttanker,0.0
Kviteseid,2022,Sjøfart,Tørrbulk,0.0
Kviteseid,2022,Veitrafikk,Busser,0.01
Kviteseid,2022,Veitrafikk,Personbiler,2635.33
Kviteseid,2023,Annen mobil forbrenning,Andre næringer  ,1.67
Kviteseid,2023,Annen mobil forbrenning,Bygg og anlegg  ,0.48
Kviteseid,2023,Annen mobil forbrenning,Snøscooter,0.41
Kviteseid,2023,Avfall og avløp,Avfallsdeponigass,1012.21
Kviteseid,2023,Avfall og avløp,Avløp,26.12
Kviteseid,2023,"Industri, olje og gass","Industri, olje og gass",0.0
Kviteseid,2023,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Kviteseid,2023,Jordbruk,Gjødselhåndtering,355.85
Kviteseid,2023,Jordbruk,Jordbruksarealer,0.19
Kviteseid,2023,Oppvarming,Annet,0.0
Kviteseid,2023,Oppvarming,Bioenergi,0.0
Kviteseid,2023,Oppvarming,LPG,0.01
Kviteseid,2023,Oppvarming,Naturgass,0.0
Kviteseid,2023,Sjøfart,*Estimat sjøfart,0.0
Kviteseid,2023,Sjøfart,Andre offshorefartøy,0.0
Kviteseid,2023,Sjøfart,Andre servicefartøy,0.0
Kviteseid,2023,Sjøfart,Havbruk,0.0
Kviteseid,2023,Sjøfart,Offshore,0.0
Kviteseid,2023,Sjøfart,Passasjer,0.0
Kviteseid,2023,Veitrafikk,Busser,249.69
Kviteseid,2023,Veitrafikk,Personbiler,23.43
Kviteseid,2023,Veitrafikk,Tunge kjøretøy,28.95
Kviteseid,2023,Veitrafikk,Varebiler,1343.57
Kviteseid,2023,Veitrafikk,Varebiler,13.57
Kviteseid,2024,Annen mobil forbrenning,Andre næringer  ,1.61
Kviteseid,2024,Annen mobil forbrenning,Behandling av avfall  ,0.3
Kviteseid,2024,Annen mobil forbrenning,Jordbruk  ,281.88
Kviteseid,2024,Annen mobil forbrenning,Skogbruk  ,67.54
Kviteseid,2024,Annen mobil forbrenning,Snøscooter,13.32
Kviteseid,2024,Avfall og avløp,Avløp,241.68
Kviteseid,2024,Avfall og avløp,Biologisk behandling av avfall,0.0
Kviteseid,2024,Avfall og avløp,Biologisk behandling av avfall,49.68
Kviteseid,2024,Bruk av produkter med fluorgasser,Bruk av HFK,438.39
Kviteseid,2024,Jordbruk,Fordøyelsesprosesser husdyr,2527.69
Kviteseid,2024,Jordbruk,Gjødselhåndtering,311.11
Kviteseid,2024,Oppvarming,Annet,11.56
Kviteseid,2024,Oppvarming,Annet,0.0
Kviteseid,2024,Oppvarming,Bioenergi,0.02
Kviteseid,2024,Oppvarming,Fossil olje,1.78
Kviteseid,2024,Oppvarming,Fyringsparafin,0.0
Kviteseid,2024,Oppvarming,LPG,0.04
Kviteseid,2024,Sjøfart,Cruise,0.0
Kviteseid,2024,Veitrafikk,Busser,2.96
Kviteseid,2024,Veitrafikk,Personbiler,10.45
Kviteseid,2024,Veitrafikk,Tunge kjøretøy,0.28
Nissedal,2009,Annen mobil forbrenning,Behandling av avfall  ,0.18
Nissedal,2009,Annen mobil forbrenning,Skogbruk  ,1.46
Nissedal,2009,Annen mobil forbrenning,Tjenester tilknyttet transport  ,12.98
Nissedal,2009,Avfall og avløp,Avløp,99.68
Nissedal,2009,Bruk av produkter med fluorgasser,Bruk av HFK,230.43
Nissedal,2009,"Industri, olje og gass","Industri, olje og gass",0.0
Nissedal,2009,Jordbruk,Fordøyelsesprosesser husdyr,965.0
Nissedal,2009,Jordbruk,Jordbruksarealer,343.95
Nissedal,2009,Luftfart,Innenriks luftfart,0.0
Nissedal,2009,Luftfart,Utenriks luftfart,0.0
Nissedal,2009,Oppvarming,Annet,0.12
Nissedal,2009,Oppvarming,Bioenergi,0.3
Nissedal,2009,Oppvarming,Fossil olje,0.01
