Kommune,År,Sektor,Utslippskilde,Utslipp
Porsgrunn,2015,Veitrafikk,Varebiler,16.53
Porsgrunn,2016,Annen mobil forbrenning,Andre næringer  ,7699.11
Porsgrunn,2016,Annen mobil forbrenning,Behandling av avfall  ,0.77
Porsgrunn,2016,Annen mobil forbrenning,Bygg og anlegg  ,2514.55
Porsgrunn,2016,Annen mobil forbrenning,Jordbruk  ,0.28
Porsgrunn,2016,Annen mobil forbrenning,Skogbruk  ,0.04
Porsgrunn,2016,Annen mobil forbrenning,Snøscooter,56.16
Porsgrunn,2016,Annen mobil forbrenning,Tjenester tilknyttet transport  ,13.72
Porsgrunn,2016,Avfall og avløp,Avfallsdeponigass,7723.79
Porsgrunn,2016,Avfall og avløp,Biologisk behandling av avfall,654.73
Porsgrunn,2016,Bruk av produkter med fluorgasser,Bruk av SF6,433.09
Porsgrunn,2016,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Porsgrunn,2016,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,52.84
Porsgrunn,2016,Jordbruk,Gjødselhåndtering,0.0
Porsgrunn,2016,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2016,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2016,Oppvarming,Annet,0.39
Porsgrunn,2016,Oppvarming,Fyringsparafin,3.3
Porsgrunn,2016,Oppvarming,LPG,0.55
Porsgrunn,2016,Sjøfart,*Estimat sjøfart,0.0
Porsgrunn,2016,Sjøfart,Andre offshorefartøy,0.0
Porsgrunn,2016,Sjøfart,Andre servicefartøy,2629.49
Porsgrunn,2016,Sjøfart,Fiskefartøy,6.75
Porsgrunn,2016,Sjøfart,Kjemikalie-/produkttanker,6416.89
Porsgrunn,2016,Sjøfart,Tørrbulk,2644.08
Porsgrunn,2016,Veitrafikk,Varebiler,9554.33
Porsgrunn,2017,Annen mobil forbrenning,Andre næringer  ,64.65
Porsgrunn,2017,Annen mobil forbrenning,Jordbruk  ,189.2
Porsgrunn,2017,Annen mobil forbrenning,Skogbruk  ,94.6
Porsgrunn,2017,Annen mobil forbrenning,Tjenester tilknyttet transport  ,1.41
Porsgrunn,2017,Avfall og avløp,Avløp,1725.2
Porsgrunn,2017,Avfall og avløp,Biologisk behandling av avfall,0.0
Porsgrunn,2017,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Porsgrunn,2017,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.01
Porsgrunn,2017,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Porsgrunn,2017,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2017,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2017,Oppvarming,Bioenergi,0.58
Porsgrunn,2017,Oppvarming,Fossil olje,3.39
Porsgrunn,2017,Oppvarming,Fyringsparafin,313.76
Porsgrunn,2017,Oppvarming,LPG,2.27
Porsgrunn,2017,Oppvarming,Vedfyring,67.35
Porsgrunn,2017,Sjøfart,Havbruk,0.0
Porsgrunn,2017,Sjøfart,Offshore,1323.94
Porsgrunn,2017,Sjøfart,Oljetanker,6.12
Porsgrunn,2017,Sjøfart,Passasjer,382.28
Porsgrunn,2017,Sjøfart,Stykkgods,8919.96
Porsgrunn,2017,Veitrafikk,Busser,2335.79
Porsgrunn,2017,Veitrafikk,Busser,24.61
Porsgrunn,2017,Veitrafikk,Personbiler,37520.58
Porsgrunn,2017,Veitrafikk,Personbiler,322.34
Porsgrunn,2017,Veitrafikk,Tunge kjøretøy,17882.43
Porsgrunn,2017,Veitrafikk,Tunge kjøretøy,184.72
Porsgrunn,2017,Veitrafikk,Varebiler,82.94
Porsgrunn,2018,Annen mobil forbrenning,Andre næringer  ,29.22
Porsgrunn,2018,Annen mobil forbrenning,Behandling av avfall  ,518.27
Porsgrunn,2018,Annen mobil forbrenning,Bygg og anlegg  ,6.7
Porsgrunn,2018,Annen mobil forbrenning,Jordbruk  ,2.11
Porsgrunn,2018,Annen mobil forbrenning,Skogbruk  ,1.13
Porsgrunn,2018,Annen mobil forbrenning,Snøscooter,10.67
Porsgrunn,2018,Annen mobil forbrenning,Tjenester tilknyttet transport  ,1126.63
Porsgrunn,2018,Avfall og avløp,Avløp,941.3
Porsgrunn,2018,Avfall og avløp,Biologisk behandling av avfall,23.71
Porsgrunn,2018,Bruk av produkter med fluorgasser,Bruk av HFK,8100.67
Porsgrunn,2018,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Porsgrunn,2018,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Porsgrunn,2018,"Industri, olje og gass","Industri, olje og gass",1832869.37
Porsgrunn,2018,Jordbruk,Fordøyelsesprosesser husdyr,2466.91
Porsgrunn,2018,Jordbruk,Gjødselhåndtering,379.63
Porsgrunn,2018,Jordbruk,Jordbruksarealer,42.01
Porsgrunn,2018,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2018,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2018,Oppvarming,Annet,0.01
Porsgrunn,2018,Oppvarming,Bioenergi,8.97
Porsgrunn,2018,Oppvarming,Fossil olje,423.24
Porsgrunn,2018,Oppvarming,Fyringsparafin,0.1
Porsgrunn,2018,Oppvarming,Naturgass,152.81
Porsgrunn,2018,Oppvarming,Vedfyring,1905.22
Porsgrunn,2018,Sjøfart,Andre aktiviteter,3.63
Porsgrunn,2018,Sjøfart,Container/RoRo,2121.44
Porsgrunn,2018,Sjøfart,Cruise,0.0
Porsgrunn,2018,Veitrafikk,Varebiler,21.78
Porsgrunn,2019,Annen mobil forbrenning,Andre næringer  ,10425.11
Porsgrunn,2019,Annen mobil forbrenning,Bygg og anlegg  ,3949.7
