Sektor,Pst_endring_2021_2022
"Industri, olje og gass",11.074223415954268
Veitrafikk,-0.22283775653286425
Jordbruk,-2.87250615452047
Annen mobil forbrenning,-0.27024383350305414
Sjøfart,-7.8297903454212
Avfall og avløp,-8.77654958842883
Annet utslipp,11.69821976300141
