Sektor,Utslipp (2023)
"Industri, olje og gass",2408973.0
Veitrafikk,278075.0
Jordbruk,103334.0
Sjøfart,65640.0
Avfall og avløp,53366.0
Annen mobil forbrenning,49221.0
Annet utslipp,21229.0
