År;Avlessing;Pålessing
2003;963;1163
2004;990;1207
2005;1128;1392
2006;1006;1145
2007;1094;1371
2008;1089;1154
2009;992;1140
2010;1092;1172
2011;955;1122
2012;913;1157
2013;1109;1231
2014;1009;1086
2015;1037;1284
2016;1196;1528
2017;1357;1528
2018;1511;1826
2019;1539;1454
2020;1429;1427
2021;1443;1471
