År;Jernbanetransport;Veitransport;Sjøtransport
2010;100;100;100
2011;117;97;103
2012;133;95;114
2013;150;102;112
2014;133;110;114
2015;167;101;124
2016;167;101;115
2017;167;96;119
2018;183;94;114
2019;200;90;119
2020;200;90;108
