År;Transportarbeid (mill tonnkm)
2003;1557
2004;2017
2005;2207
2006;2373
2007;2454
2008;2666
2009;2643
2010;2393
2011;2507
2012;2530
2013;2346
2014;2372
2015;2458
2016;2591
2017;2755
2018;2730
2019;2683
2020;2812
