Nivå;Geografisk enhet;Yrke utlyst stilling;Antall utlyste stillinger;Yrkespraksis;Antall søkere;Dato
Fylker;Nordland;Reiseliv og transport;130.0;Reiseliv og transport;242.0;2025-08-01
Fylker;Nordland;Reiseliv og transport;130.0;Serviceyrker og annet arbeid;307.0;2025-08-01
Fylker;Nordland;Reiseliv og transport;130.0;Undervisning;97.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Akademiske yrker;50.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Barne- og ungdomsarbeid;184.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Butikk- og salgsarbeid;293.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Bygg og anlegg;210.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Helse, pleie og omsorg;231.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Industriarbeid;446.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Ingen yrkesbakgrunn eller uoppgitt;579.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Ingeniør- og ikt-fag;124.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Jordbruk, skogbruk og fiske;91.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Kontorarbeid;137.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Ledere;82.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Meglere og konsulenter;42.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Reiseliv og transport;242.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Serviceyrker og annet arbeid;307.0;2025-08-01
Fylker;Nordland;Serviceyrker og annet arbeid;146.0;Undervisning;97.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Akademiske yrker;50.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Barne- og ungdomsarbeid;184.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Butikk- og salgsarbeid;293.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Bygg og anlegg;210.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Helse, pleie og omsorg;231.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Industriarbeid;446.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Ingen yrkesbakgrunn eller uoppgitt;579.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Ingeniør- og ikt-fag;124.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Jordbruk, skogbruk og fiske;91.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Kontorarbeid;137.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Ledere;82.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Meglere og konsulenter;42.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Reiseliv og transport;242.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Serviceyrker og annet arbeid;307.0;2025-08-01
Fylker;Nordland;Undervisning;70.0;Undervisning;97.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Akademiske yrker;290.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Barne- og ungdomsarbeid;219.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Butikk- og salgsarbeid;748.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Bygg og anlegg;345.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Helse, pleie og omsorg;737.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Industriarbeid;328.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Ingen yrkesbakgrunn eller uoppgitt;2.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Ingeniør- og ikt-fag;535.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Jordbruk, skogbruk og fiske;6.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Kontorarbeid;523.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Ledere;232.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Meglere og konsulenter;256.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Reiseliv og transport;705.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Serviceyrker og annet arbeid;591.0;Undervisning;795.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Akademiske yrker;664.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Barne- og ungdomsarbeid;758.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Butikk- og salgsarbeid;1422.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Bygg og anlegg;1045.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Helse, pleie og omsorg;1073.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Industriarbeid;515.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Ingen yrkesbakgrunn eller uoppgitt;1912.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Ingeniør- og ikt-fag;1452.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Jordbruk, skogbruk og fiske;47.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Kontorarbeid;1376.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Ledere;1119.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Meglere og konsulenter;744.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Reiseliv og transport;1562.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Serviceyrker og annet arbeid;2070.0;2025-08-01
Fylker;Oslo;Undervisning;345.0;Undervisning;795.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Akademiske yrker;137.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Barne- og ungdomsarbeid;397.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Butikk- og salgsarbeid;700.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Bygg og anlegg;490.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Helse, pleie og omsorg;491.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Industriarbeid;645.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Ingen yrkesbakgrunn eller uoppgitt;1185.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Ingeniør- og ikt-fag;525.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Jordbruk, skogbruk og fiske;106.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Kontorarbeid;451.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Ledere;306.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Meglere og konsulenter;227.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Reiseliv og transport;661.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Serviceyrker og annet arbeid;744.0;2025-08-01
Fylker;Rogaland;Akademiske yrker;66.0;Undervisning;267.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Akademiske yrker;137.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Barne- og ungdomsarbeid;397.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Butikk- og salgsarbeid;700.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Bygg og anlegg;490.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Helse, pleie og omsorg;491.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Industriarbeid;645.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Ingen yrkesbakgrunn eller uoppgitt;1185.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Ingeniør- og ikt-fag;525.0;2025-08-01
Fylker;Rogaland;Barne- og ungdomsarbeid;200.0;Jordbruk, skogbruk og fiske;106.0;2025-08-01
