Nivå;Geografisk enhet;Yrke utlyst stilling;Antall utlyste stillinger;Yrkespraksis;Antall søkere;Dato
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Ledere;154.0;2025-08-01
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Ingen yrkesbakgrunn eller uoppgitt;3.0;Undervisning;253.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Akademiske yrker;93.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Barne- og ungdomsarbeid;357.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Butikk- og salgsarbeid;576.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Bygg og anlegg;441.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Helse, pleie og omsorg;431.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Industriarbeid;530.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Ledere;154.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Ingeniør- og ikt-fag;42.0;Undervisning;253.0;2025-08-01
