Enhet;År;Kommunenummer;Kommune;Bosetting;Antall
Personer;1995;0227;Fet (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0227;Fet (t.o.m. 2019);Vedtak om bosetting;0
Personer;1995;0228;;Anmodning om bosetting;15
Personer;1995;0228;;Faktisk bosetting;.
Personer;1995;0228;;Vedtak om bosetting;0
Personer;1995;0229;;Anmodning om bosetting;15
Personer;1995;0229;;Faktisk bosetting;.
Personer;1995;0229;;Vedtak om bosetting;.
Personer;1995;0230;;Anmodning om bosetting;20
Personer;1995;0230;;Faktisk bosetting;.
Personer;1995;0230;;Vedtak om bosetting;20
Personer;1995;0231;Skedsmo (t.o.m. 2019);Anmodning om bosetting;20
Personer;1995;0231;Skedsmo (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0231;Skedsmo (t.o.m. 2019);Vedtak om bosetting;20
Personer;1995;0233;;Anmodning om bosetting;15
Personer;1995;0233;;Faktisk bosetting;.
Personer;1995;0233;;Vedtak om bosetting;0
Personer;1995;0234;;Anmodning om bosetting;10
Personer;1995;0234;;Faktisk bosetting;.
Personer;1995;0234;;Vedtak om bosetting;0
Personer;1995;0235;;Anmodning om bosetting;15
Personer;1995;0235;;Faktisk bosetting;.
Personer;1995;0235;;Vedtak om bosetting;7
Personer;1995;0236;;Anmodning om bosetting;15
Personer;1995;0236;;Faktisk bosetting;.
Personer;1995;0236;;Vedtak om bosetting;8
Personer;1995;0237;;Anmodning om bosetting;15
Personer;1995;0237;;Faktisk bosetting;.
Personer;1995;0237;;Vedtak om bosetting;0
Personer;1995;0238;;Anmodning om bosetting;15
Personer;1995;0238;;Faktisk bosetting;.
Personer;1995;0238;;Vedtak om bosetting;15
Personer;1995;0239;;Anmodning om bosetting;0
Personer;1995;0239;;Faktisk bosetting;.
Personer;1995;0239;;Vedtak om bosetting;.
Personer;1995;0301;Oslo;Anmodning om bosetting;240
Personer;1995;0301;Oslo;Faktisk bosetting;.
Personer;1995;0301;Oslo;Vedtak om bosetting;240
Personer;1995;0402;;Anmodning om bosetting;40
Personer;1995;0402;;Faktisk bosetting;.
Personer;1995;0402;;Vedtak om bosetting;22
Personer;1995;0403;;Anmodning om bosetting;40
Personer;1995;0403;;Faktisk bosetting;.
Personer;1995;0403;;Vedtak om bosetting;30
Personer;1995;0412;;Anmodning om bosetting;20
Personer;1995;0412;;Faktisk bosetting;.
Personer;1995;0412;;Vedtak om bosetting;0
Personer;1995;0415;;Anmodning om bosetting;25
Personer;1995;0415;;Faktisk bosetting;.
Personer;1995;0415;;Vedtak om bosetting;25
Personer;1995;0417;;Anmodning om bosetting;20
Personer;1995;0417;;Faktisk bosetting;.
Personer;1995;0417;;Vedtak om bosetting;0
Personer;1995;0418;;Anmodning om bosetting;20
Personer;1995;0418;;Faktisk bosetting;.
Personer;1995;0418;;Vedtak om bosetting;0
Personer;1995;0419;;Anmodning om bosetting;20
Personer;1995;0419;;Faktisk bosetting;.
Personer;1995;0419;;Vedtak om bosetting;.
Personer;1995;0420;;Anmodning om bosetting;.
Personer;1995;0420;;Faktisk bosetting;.
Personer;1995;0420;;Vedtak om bosetting;.
Personer;1995;0423;;Anmodning om bosetting;15
Personer;1995;0423;;Faktisk bosetting;.
Personer;1995;0423;;Vedtak om bosetting;.
Personer;1995;0425;;Anmodning om bosetting;15
Personer;1995;0425;;Faktisk bosetting;.
Personer;1995;0425;;Vedtak om bosetting;15
Personer;1995;0426;;Anmodning om bosetting;10
Personer;1995;0426;;Faktisk bosetting;.
Personer;1995;0426;;Vedtak om bosetting;.
Personer;1995;0427;;Anmodning om bosetting;40
Personer;1995;0427;;Faktisk bosetting;.
Personer;1995;0427;;Vedtak om bosetting;.
Personer;1995;0428;;Anmodning om bosetting;20
Personer;1995;0428;;Faktisk bosetting;.
Personer;1995;0428;;Vedtak om bosetting;0
Personer;1995;0429;;Anmodning om bosetting;15
Personer;1995;0429;;Faktisk bosetting;.
Personer;1995;0429;;Vedtak om bosetting;15
Personer;1995;0430;;Anmodning om bosetting;20
Personer;1995;0430;;Faktisk bosetting;.
Personer;1995;0430;;Vedtak om bosetting;.
Personer;1995;0432;;Anmodning om bosetting;.
Personer;1995;0432;;Faktisk bosetting;.
Personer;1995;0432;;Vedtak om bosetting;.
Personer;1995;0434;;Anmodning om bosetting;.
Personer;1995;0434;;Faktisk bosetting;.
Personer;1995;0434;;Vedtak om bosetting;.
Personer;1995;0436;;Anmodning om bosetting;10
Personer;1995;0436;;Faktisk bosetting;.
Personer;1995;0436;;Vedtak om bosetting;0
Personer;1995;0437;;Anmodning om bosetting;15
Personer;1995;0437;;Faktisk bosetting;.
Personer;1995;0437;;Vedtak om bosetting;0
Personer;1995;0438;;Anmodning om bosetting;10
Personer;1995;0438;;Faktisk bosetting;.
Personer;1995;0438;;Vedtak om bosetting;.
Personer;1995;0439;;Anmodning om bosetting;10
Personer;1995;0439;;Faktisk bosetting;.
Personer;1995;0439;;Vedtak om bosetting;10
Personer;1995;0441;;Anmodning om bosetting;15
Personer;1995;0441;;Faktisk bosetting;.
Personer;1995;0441;;Vedtak om bosetting;0
Personer;1995;0501;;Anmodning om bosetting;.
Personer;1995;0501;;Faktisk bosetting;.
Personer;1995;0501;;Vedtak om bosetting;.
Personer;1995;0502;;Anmodning om bosetting;.
Personer;1995;0502;;Faktisk bosetting;.
Personer;1995;0502;;Vedtak om bosetting;.
Personer;1995;0511;;Anmodning om bosetting;.
Personer;1995;0511;;Faktisk bosetting;.
Personer;1995;0511;;Vedtak om bosetting;.
Personer;1995;0512;;Anmodning om bosetting;.
Personer;1995;0512;;Faktisk bosetting;.
Personer;1995;0512;;Vedtak om bosetting;.
Personer;1995;0513;;Anmodning om bosetting;.
Personer;1995;0513;;Faktisk bosetting;.
Personer;1995;0513;;Vedtak om bosetting;.
Personer;1995;0514;;Anmodning om bosetting;.
Personer;1995;0514;;Faktisk bosetting;.
Personer;1995;0514;;Vedtak om bosetting;.
Personer;1995;0515;;Anmodning om bosetting;.
Personer;1995;0515;;Faktisk bosetting;.
Personer;1995;0515;;Vedtak om bosetting;.
Personer;1995;0516;;Anmodning om bosetting;.
