Kommunenavn,Jordbruksareal (2024)
Midt-Telemark,47860
Skien,45720
Nome,29460
Notodden,23060
Vinje,19400
Seljord,14930
Hjartdal,13810
Tinn,13610
Tokke,13190
Drangedal,13010
Kviteseid,11900
Bamble,8950
Fyresdal,8690
Porsgrunn,8119
Siljan,6760
Kragerø,6490
Nissedal,5210
