Sektor,Utslipp (2022)
"Industri, olje og gass",2644630.0
Veitrafikk,292812.0
Jordbruk,106551.0
Annen mobil forbrenning,80255.0
Sjøfart,65496.0
Avfall og avløp,55090.0
Annet utslipp,23329.0
