År,Deltakere
2005-01-01,451.0
2006-01-01,454.0
2007-01-01,435.0
2008-01-01,426.0
2009-01-01,534.0
2010-01-01,632.0
2011-01-01,708.0
2012-01-01,733.0
2013-01-01,742.0
2014-01-01,736.0
2015-01-01,794.0
2016-01-01,1020.0
2017-01-01,1143.0
2018-01-01,1086.0
2019-01-01,857.0
2020-01-01,544.0
2021-01-01,419.0
2022-01-01,725.0
2023-01-01,1177.0
