Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2021,,,,,,2021,juni
I alt,81316.0,2.9,-54672.0,-40.0,4.8,2021,juni
Oslo,15793.0,4.0,-9877.0,-38.0,6.5,2021,juni
Rogaland,6760.0,2.6,-5458.0,-45.0,4.8,2021,juni
Møre og Romsdal,3283.0,2.4,-2356.0,-42.0,4.1,2021,juni
Nordland,2392.0,1.9,-1781.0,-43.0,3.4,2021,juni
Viken,21446.0,3.3,-12501.0,-37.0,5.3,2021,juni
Innlandet,3850.0,2.0,-3212.0,-45.0,3.8,2021,juni
Vestfold og Telemark,6430.0,3.1,-3580.0,-36.0,4.8,2021,juni
Agder,3859.0,2.5,-2824.0,-42.0,4.4,2021,juni
Vestland,9228.0,2.7,-6344.0,-41.0,4.6,2021,juni
Trøndelag - Trööndelage,5476.0,2.2,-3947.0,-42.0,3.8,2021,juni
Troms og Finnmark - Romsa ja Finnmárku,2748.0,2.1,-2644.0,-49.0,4.1,2021,juni
Øvrige områder,43.0,,-95.0,-69.0,,2021,juni
Ukjent,8.0,,-53.0,-87.0,,2021,juni
