Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2024,,,,,,2024,januar
I alt,62933.0,2.1,7576.0,14.0,1.9,2024,januar
Oslo,10789.0,2.6,1802.0,20.0,2.2,2024,januar
Rogaland,4889.0,1.9,315.0,7.0,1.8,2024,januar
Møre og Romsdal,2612.0,1.9,227.0,10.0,1.7,2024,januar
Nordland - Nordlánnda,2024.0,1.6,242.0,14.0,1.5,2024,januar
Østfold,4440.0,2.9,320.0,8.0,2.8,2024,januar
Akershus,8896.0,2.3,1670.0,23.0,1.9,2024,januar
Buskerud,3168.0,2.3,491.0,18.0,2.0,2024,januar
Innlandet,3553.0,1.9,334.0,10.0,1.7,2024,januar
Vestfold,3406.0,2.7,175.0,5.0,2.6,2024,januar
Telemark,2287.0,2.7,210.0,10.0,2.4,2024,januar
Agder,3502.0,2.2,393.0,13.0,2.0,2024,januar
Vestland,6630.0,1.9,473.0,8.0,1.8,2024,januar
Trøndelag - Trööndelage,4397.0,1.7,524.0,14.0,1.5,2024,januar
Troms - Romsa - Tromssa ,1300.0,1.4,243.0,23.0,1.2,2024,januar
Finnmark - Finnmárku - Finmarkku,1015.0,2.6,158.0,18.0,2.2,2024,januar
Øvrige områder,12.0,,4.0,50.0,,2024,januar
Ukjent,13.0,,-5.0,-28.0,,2024,januar
