Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2016,,,,,,2016,april
I alt,85471.0,3.1,5835.0,7.0,2.9,2016,april
Østfold,4679.0,3.3,-398.0,-8.0,3.5,2016,april
Akershus,7753.0,2.5,-294.0,-4.0,2.6,2016,april
Oslo,12371.0,3.4,-658.0,-5.0,3.6,2016,april
Hedmark,2358.0,2.4,-242.0,-9.0,2.7,2016,april
Oppland,2019.0,2.1,-127.0,-6.0,2.2,2016,april
Buskerud,4135.0,2.8,61.0,1.0,2.8,2016,april
Vestfold,3863.0,3.1,148.0,4.0,3.0,2016,april
Telemark,2972.0,3.4,-130.0,-4.0,3.6,2016,april
Aust-Agder,2172.0,3.8,103.0,5.0,3.6,2016,april
Vest-Agder,3552.0,3.8,457.0,15.0,3.3,2016,april
Rogaland,11763.0,4.6,3753.0,47.0,3.1,2016,april
Hordaland,9410.0,3.4,2235.0,31.0,2.6,2016,april
Sogn og Fjordane,1204.0,2.1,-15.0,-1.0,2.1,2016,april
Møre og Romsdal,4610.0,3.3,1214.0,36.0,2.4,2016,april
Sør-Trøndelag,4445.0,2.7,83.0,2.0,2.6,2016,april
Nord-Trøndelag,1708.0,2.5,-164.0,-9.0,2.7,2016,april
Nordland,3217.0,2.6,-58.0,-2.0,2.7,2016,april
Troms,1889.0,2.2,-25.0,-1.0,2.2,2016,april
Finnmark,1330.0,3.4,12.0,1.0,3.3,2016,april
Øvrige områder,12.0,,-7.0,-37.0,,2016,april
Ukjent,9.0,,-113.0,-93.0,,2016,april
