Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2017,,,,,,2017,september
I alt,68879.0,2.5,-9634.0,-12.0,2.8,2017,september
Østfold,4173.0,2.9,0.0,0.0,2.9,2017,september
Akershus,6389.0,2.0,-962.0,-13.0,2.3,2017,september
Oslo,10165.0,2.7,-1117.0,-10.0,3.0,2017,september
Hedmark,1796.0,1.8,-200.0,-10.0,2.0,2017,september
Oppland,1386.0,1.4,-292.0,-17.0,1.7,2017,september
Buskerud,3480.0,2.4,-283.0,-8.0,2.6,2017,september
Vestfold,3607.0,2.9,-201.0,-5.0,3.0,2017,september
Telemark,2198.0,2.6,-136.0,-6.0,2.7,2017,september
Aust-Agder,1782.0,3.1,-252.0,-12.0,3.5,2017,september
Vest-Agder,2728.0,2.9,-475.0,-15.0,3.4,2017,september
Rogaland,8797.0,3.4,-2466.0,-22.0,4.3,2017,september
Hordaland,7890.0,2.8,-1330.0,-14.0,3.3,2017,september
Sogn og Fjordane,847.0,1.4,-25.0,-3.0,1.5,2017,september
Møre og Romsdal,3564.0,2.5,-700.0,-16.0,3.0,2017,september
Sør-Trøndelag,3613.0,2.1,-340.0,-9.0,2.3,2017,september
Nord-Trøndelag,1395.0,2.0,-50.0,-3.0,2.1,2017,september
Nordland,2460.0,2.0,-499.0,-17.0,2.4,2017,september
Troms,1516.0,1.7,-155.0,-9.0,1.9,2017,september
Finnmark,1082.0,2.7,-141.0,-12.0,3.0,2017,september
Øvrige områder,10.0,,-7.0,-41.0,,2017,september
Ukjent,,,,,,2017,september
