Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2016,,,,,,2016,oktober
I alt,77822.0,2.8,-2152.0,-3.0,2.9,2016,oktober
Østfold,4164.0,2.9,-485.0,-10.0,3.2,2016,oktober
Akershus,7265.0,2.3,-556.0,-7.0,2.5,2016,oktober
Oslo,11081.0,3.0,-988.0,-8.0,3.3,2016,oktober
Hedmark,1906.0,1.9,-364.0,-16.0,2.3,2016,oktober
Oppland,1720.0,1.8,-121.0,-7.0,1.9,2016,oktober
Buskerud,3771.0,2.6,-325.0,-8.0,2.8,2016,oktober
Vestfold,3815.0,3.0,233.0,7.0,2.9,2016,oktober
Telemark,2255.0,2.6,-622.0,-22.0,3.3,2016,oktober
Aust-Agder,1974.0,3.4,-306.0,-13.0,4.0,2016,oktober
Vest-Agder,3176.0,3.3,-30.0,-1.0,3.4,2016,oktober
Rogaland,11408.0,4.4,1135.0,11.0,4.0,2016,oktober
Hordaland,9047.0,3.2,1008.0,13.0,2.9,2016,oktober
Sogn og Fjordane,894.0,1.5,-112.0,-11.0,1.7,2016,oktober
Møre og Romsdal,4281.0,3.0,499.0,13.0,2.7,2016,oktober
Sør-Trøndelag,3933.0,2.3,-267.0,-6.0,2.5,2016,oktober
Nord-Trøndelag,1411.0,2.0,-341.0,-19.0,2.6,2016,oktober
Nordland,2864.0,2.3,-405.0,-12.0,2.7,2016,oktober
Troms,1631.0,1.9,-126.0,-7.0,2.0,2016,oktober
Finnmark,1203.0,3.0,46.0,4.0,2.9,2016,oktober
Øvrige områder,18.0,,4.0,29.0,,2016,oktober
Ukjent,5.0,,-29.0,-85.0,,2016,oktober
