Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2019,,,,,,2019,juni
I alt,60093.0,2.1,-645.0,-1.0,2.2,2019,juni
Østfold,4262.0,2.9,547.0,15.0,2.6,2019,juni
Akershus,6206.0,1.9,193.0,3.0,1.8,2019,juni
Oslo,9685.0,2.5,618.0,7.0,2.4,2019,juni
Hedmark,1940.0,2.0,311.0,19.0,1.7,2019,juni
Oppland,1626.0,1.7,218.0,15.0,1.4,2019,juni
Buskerud,3264.0,2.2,-107.0,-3.0,2.3,2019,juni
Vestfold,3326.0,2.6,-31.0,-1.0,2.7,2019,juni
Telemark,2148.0,2.5,133.0,7.0,2.4,2019,juni
Aust-Agder,1287.0,2.3,-111.0,-8.0,2.5,2019,juni
Vest-Agder,2038.0,2.2,-224.0,-10.0,2.4,2019,juni
Rogaland,5693.0,2.2,-900.0,-14.0,2.6,2019,juni
Hordaland,6096.0,2.2,-927.0,-13.0,2.5,2019,juni
Sogn og Fjordane,751.0,1.3,9.0,1.0,1.3,2019,juni
Møre og Romsdal,2735.0,2.0,-338.0,-11.0,2.2,2019,juni
Nordland,2217.0,1.8,99.0,5.0,1.7,2019,juni
Troms Romsa,1421.0,1.6,98.0,7.0,1.5,2019,juni
Finnmark Finnmárku,1058.0,2.6,-22.0,-2.0,2.7,2019,juni
Trøndelag,4330.0,1.8,-217.0,-5.0,1.9,2019,juni
Øvrige områder,5.0,,1.0,25.0,,2019,juni
Ukjent,5.0,,,,,2019,juni
