Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2023,,,,,,2023,mai
I alt,48839.0,1.7,1697.0,4.0,1.6,2023,mai
Oslo,8588.0,2.1,533.0,7.0,2.0,2023,mai
Rogaland,3955.0,1.5,-89.0,-2.0,1.6,2023,mai
Møre og Romsdal,2038.0,1.5,-77.0,-4.0,1.5,2023,mai
Nordland - Nordlánnda,1597.0,1.3,42.0,3.0,1.3,2023,mai
Viken,12949.0,2.0,668.0,5.0,1.9,2023,mai
Innlandet,2823.0,1.5,258.0,10.0,1.4,2023,mai
Vestfold og Telemark,4322.0,2.0,156.0,4.0,2.0,2023,mai
Agder,2553.0,1.6,206.0,9.0,1.5,2023,mai
Vestland,5191.0,1.5,-48.0,-1.0,1.6,2023,mai
Trøndelag - Trööndelage,3108.0,1.2,160.0,5.0,1.2,2023,mai
Troms og Finnmark - Romsa ja Finnmárku,1705.0,1.3,-99.0,-5.0,1.4,2023,mai
Øvrige områder,,,,,,2023,mai
Ukjent,7.0,,-8.0,-53.0,,2023,mai
