Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2024,,,,,,2024,november
I alt,58888.0,2.0,5778.0,11.0,1.8,2024,november
Oslo,10394.0,2.5,871.0,9.0,2.4,2024,november
Rogaland,4580.0,1.7,261.0,6.0,1.7,2024,november
Møre og Romsdal,2444.0,1.8,319.0,15.0,1.5,2024,november
Nordland - Nordlánnda,1946.0,1.6,303.0,18.0,1.3,2024,november
Østfold,4022.0,2.7,314.0,8.0,2.5,2024,november
Akershus,8412.0,2.2,954.0,13.0,2.0,2024,november
Buskerud,3046.0,2.2,407.0,15.0,1.9,2024,november
Innlandet,3403.0,1.8,477.0,16.0,1.6,2024,november
Vestfold,2972.0,2.3,119.0,4.0,2.3,2024,november
Telemark,2004.0,2.3,184.0,10.0,2.1,2024,november
Agder,3246.0,2.1,264.0,9.0,1.9,2024,november
Vestland,5965.0,1.7,401.0,7.0,1.6,2024,november
Trøndelag - Trööndelage,4350.0,1.7,790.0,22.0,1.4,2024,november
Troms - Romsa - Tromssa ,1114.0,1.2,-23.0,-2.0,1.3,2024,november
Finnmark - Finnmárku - Finmarkku,961.0,2.4,134.0,16.0,2.1,2024,november
Øvrige områder,21.0,,11.0,110.0,,2024,november
Ukjent,8.0,,-8.0,-50.0,,2024,november
