Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2023,,,,,,2023,september
I alt,52381.0,1.8,6370.0,14.0,1.6,2023,september
Oslo,9354.0,2.3,1509.0,19.0,2.0,2023,september
Rogaland,4268.0,1.7,411.0,11.0,1.5,2023,september
Møre og Romsdal,2054.0,1.5,63.0,3.0,1.4,2023,september
Nordland - Nordlánnda,1601.0,1.3,189.0,13.0,1.2,2023,september
Viken,13939.0,2.1,2068.0,17.0,1.8,2023,september
Innlandet,2872.0,1.5,292.0,11.0,1.4,2023,september
Vestfold og Telemark,4456.0,2.1,192.0,5.0,2.0,2023,september
Agder,2954.0,1.9,424.0,17.0,1.6,2023,september
Vestland,5585.0,1.6,530.0,10.0,1.5,2023,september
Trøndelag - Trööndelage,3451.0,1.4,479.0,16.0,1.2,2023,september
Troms og Finnmark - Romsa ja Finnmárku,1830.0,1.4,216.0,13.0,1.3,2023,september
Øvrige områder,4.0,,-5.0,-56.0,,2023,september
Ukjent,13.0,,2.0,18.0,,2023,september
