Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2020,,,,,,2020,august
I alt,122229.0,4.3,57168.0,88.0,2.3,2020,august
Oslo,22637.0,5.7,12210.0,117.0,2.7,2020,august
Rogaland,11419.0,4.5,5408.0,90.0,2.4,2020,august
Møre og Romsdal,5194.0,3.7,2138.0,70.0,2.2,2020,august
Nordland,3735.0,3.0,1464.0,64.0,1.8,2020,august
Viken,30541.0,4.7,15275.0,100.0,2.4,2020,august
Innlandet,6247.0,3.3,2650.0,74.0,1.9,2020,august
Vestfold og Telemark,9160.0,4.4,3413.0,59.0,2.8,2020,august
Agder,6354.0,4.2,2571.0,68.0,2.5,2020,august
Vestland,13926.0,4.1,6474.0,87.0,2.2,2020,august
Trøndelag - Trööndelage,8370.0,3.4,3573.0,74.0,1.9,2020,august
Troms og Finnmark - Romsa ja Finnmárku,4537.0,3.5,1901.0,72.0,2.0,2020,august
Øvrige områder,83.0,,74.0,822.0,,2020,august
Ukjent,26.0,,17.0,189.0,,2020,august
