Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Desember 2024,,,,,,2024,desember
I alt,60577.0,2.0,5183.0,9.0,1.9,2024,desember
Oslo,10444.0,2.5,731.0,8.0,2.4,2024,desember
Rogaland,4731.0,1.8,299.0,7.0,1.7,2024,desember
Møre og Romsdal,2515.0,1.8,222.0,10.0,1.7,2024,desember
Nordland - Nordlánnda,2083.0,1.7,334.0,19.0,1.4,2024,desember
Østfold,4133.0,2.7,286.0,7.0,2.6,2024,desember
Akershus,8764.0,2.3,1004.0,13.0,2.1,2024,desember
Buskerud,3153.0,2.3,436.0,16.0,2.0,2024,desember
Innlandet,3568.0,1.9,530.0,17.0,1.6,2024,desember
Vestfold,3055.0,2.4,160.0,6.0,2.3,2024,desember
Telemark,2116.0,2.5,152.0,8.0,2.3,2024,desember
Agder,3369.0,2.1,269.0,9.0,2.0,2024,desember
Vestland,6076.0,1.8,177.0,3.0,1.7,2024,desember
Trøndelag - Trööndelage,4462.0,1.8,609.0,16.0,1.5,2024,desember
Troms - Romsa - Tromssa ,1109.0,1.2,-69.0,-6.0,1.3,2024,desember
Finnmark - Finnmárku - Finmarkku,968.0,2.5,35.0,4.0,2.4,2024,desember
Svalbard og øvrige områder,20.0,,10.0,100.0,,2024,desember
Ukjent,11.0,,-2.0,-15.0,,2024,desember
