Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2023,,,,,,2023,august
I alt,54648.0,1.9,6714.0,14.0,1.6,2023,august
Oslo,9704.0,2.4,1573.0,19.0,2.0,2023,august
Rogaland,4384.0,1.7,225.0,5.0,1.6,2023,august
Møre og Romsdal,2340.0,1.7,255.0,12.0,1.5,2023,august
Nordland - Nordlánnda,1626.0,1.3,162.0,11.0,1.2,2023,august
Viken,14453.0,2.2,2069.0,17.0,1.9,2023,august
Innlandet,3255.0,1.7,679.0,26.0,1.4,2023,august
Vestfold og Telemark,4743.0,2.2,438.0,10.0,2.1,2023,august
Agder,2999.0,1.9,498.0,20.0,1.6,2023,august
Vestland,5718.0,1.7,374.0,7.0,1.6,2023,august
Trøndelag - Trööndelage,3573.0,1.4,359.0,11.0,1.3,2023,august
Troms og Finnmark - Romsa ja Finnmárku,1834.0,1.4,87.0,5.0,1.4,2023,august
Øvrige områder,9.0,,-4.0,-31.0,,2023,august
Ukjent,10.0,,-1.0,-9.0,,2023,august
