Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Desember 2016,,,,,,2016,desember
I alt,78556.0,2.8,-2290.0,-3.0,3.0,2016,desember
Østfold,4356.0,3.0,-367.0,-8.0,3.3,2016,desember
Akershus,6978.0,2.2,-539.0,-7.0,2.4,2016,desember
Oslo,10603.0,2.8,-1031.0,-9.0,3.2,2016,desember
Hedmark,1926.0,2.0,-310.0,-14.0,2.3,2016,desember
Oppland,1720.0,1.8,-208.0,-11.0,2.0,2016,desember
Buskerud,3750.0,2.6,-232.0,-6.0,2.7,2016,desember
Vestfold,3850.0,3.1,327.0,9.0,2.8,2016,desember
Telemark,2425.0,2.8,-540.0,-18.0,3.4,2016,desember
Aust-Agder,2015.0,3.5,-284.0,-12.0,4.0,2016,desember
Vest-Agder,3181.0,3.3,-44.0,-1.0,3.5,2016,desember
Rogaland,11617.0,4.5,662.0,6.0,4.3,2016,desember
Hordaland,9555.0,3.4,1261.0,15.0,3.0,2016,desember
Sogn og Fjordane,964.0,1.6,-165.0,-15.0,2.0,2016,desember
Møre og Romsdal,4440.0,3.1,364.0,9.0,2.9,2016,desember
Sør-Trøndelag,3834.0,2.3,-316.0,-8.0,2.5,2016,desember
Nord-Trøndelag,1458.0,2.1,-295.0,-17.0,2.6,2016,desember
Nordland,2874.0,2.3,-434.0,-13.0,2.7,2016,desember
Troms,1803.0,2.1,29.0,2.0,2.1,2016,desember
Finnmark,1188.0,3.0,-149.0,-11.0,3.4,2016,desember
Øvrige områder,17.0,,7.0,70.0,,2016,desember
Ukjent,,,,,,2016,desember
