Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2022,,,,,,2022,februar
I alt,64439.0,2.3,-56065.0,-47.0,4.3,2022,februar
Oslo,11205.0,2.9,-14310.0,-56.0,6.6,2022,februar
Rogaland,5290.0,2.1,-4388.0,-45.0,3.9,2022,februar
Møre og Romsdal,2791.0,2.1,-1384.0,-33.0,3.1,2022,februar
Nordland - Nordlánnda,2062.0,1.7,-1371.0,-40.0,2.9,2022,februar
Viken,16533.0,2.6,-14745.0,-47.0,4.9,2022,februar
Innlandet,3428.0,1.9,-2302.0,-40.0,3.2,2022,februar
Vestfold og Telemark,5718.0,2.8,-3197.0,-36.0,4.4,2022,februar
Agder,3295.0,2.2,-2163.0,-40.0,3.7,2022,februar
Vestland,7372.0,2.2,-7327.0,-50.0,4.5,2022,februar
Trøndelag - Trööndelage,4363.0,1.8,-3399.0,-44.0,3.2,2022,februar
Troms og Finnmark - Romsa ja Finnmárku,2351.0,1.9,-1427.0,-38.0,3.0,2022,februar
Øvrige områder,21.0,,-47.0,-69.0,,2022,februar
Ukjent,10.0,,-5.0,-33.0,,2022,februar
