Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Desember 2017,,,,,,2017,desember
I alt,65375.0,2.4,-13181.0,-17.0,2.8,2017,desember
Østfold,3995.0,2.8,-361.0,-8.0,3.0,2017,desember
Akershus,6123.0,1.9,-855.0,-12.0,2.2,2017,desember
Oslo,9284.0,2.5,-1319.0,-12.0,2.8,2017,desember
Hedmark,1718.0,1.7,-208.0,-11.0,2.0,2017,desember
Oppland,1559.0,1.6,-161.0,-9.0,1.8,2017,desember
Buskerud,3485.0,2.4,-265.0,-7.0,2.6,2017,desember
Vestfold,3387.0,2.7,-463.0,-12.0,3.1,2017,desember
Telemark,2080.0,2.4,-345.0,-14.0,2.8,2017,desember
Aust-Agder,1713.0,3.0,-302.0,-15.0,3.5,2017,desember
Vest-Agder,2496.0,2.7,-685.0,-22.0,3.3,2017,desember
Rogaland,8059.0,3.2,-3558.0,-31.0,4.5,2017,desember
Hordaland,7644.0,2.7,-1911.0,-20.0,3.4,2017,desember
Sogn og Fjordane,878.0,1.5,-86.0,-9.0,1.6,2017,desember
Møre og Romsdal,3421.0,2.4,-1019.0,-23.0,3.1,2017,desember
Sør-Trøndelag,3221.0,1.9,-613.0,-16.0,2.3,2017,desember
Nord-Trøndelag,1358.0,1.9,-100.0,-7.0,2.1,2017,desember
Nordland,2393.0,1.9,-481.0,-17.0,2.3,2017,desember
Troms,1441.0,1.6,-362.0,-20.0,2.1,2017,desember
Finnmark,1114.0,2.8,-74.0,-6.0,3.0,2017,desember
Øvrige områder,4.0,,-13.0,-76.0,,2017,desember
Ukjent,,,,,,2017,desember
