Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2023,,,,,,2023,november
I alt,53110.0,1.8,7420.0,16.0,1.6,2023,november
Oslo,9523.0,2.4,2040.0,27.0,1.9,2023,november
Rogaland,4319.0,1.7,329.0,8.0,1.6,2023,november
Møre og Romsdal,2125.0,1.5,95.0,5.0,1.5,2023,november
Nordland - Nordlánnda,1643.0,1.3,150.0,10.0,1.2,2023,november
Viken,13805.0,2.1,2235.0,19.0,1.8,2023,november
Innlandet,2926.0,1.6,318.0,12.0,1.4,2023,november
Vestfold og Telemark,4673.0,2.2,264.0,6.0,2.1,2023,november
Agder,2982.0,1.9,376.0,14.0,1.7,2023,november
Vestland,5564.0,1.6,488.0,10.0,1.5,2023,november
Trøndelag - Trööndelage,3560.0,1.4,671.0,23.0,1.2,2023,november
Troms og Finnmark - Romsa ja Finnmárku,1964.0,1.5,444.0,29.0,1.2,2023,november
Øvrige områder,10.0,,3.0,43.0,,2023,november
Ukjent,16.0,,7.0,78.0,,2023,november
