Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2021,,,,,,2021,januar
I alt,123969.0,4.4,55919.0,82.0,2.4,2021,januar
Oslo,25524.0,6.4,15251.0,148.0,2.6,2021,januar
Rogaland,10480.0,4.1,4406.0,73.0,2.4,2021,januar
Møre og Romsdal,4653.0,3.4,1638.0,54.0,2.2,2021,januar
Nordland,3738.0,3.0,1145.0,44.0,2.1,2021,januar
Viken,31436.0,4.9,15035.0,92.0,2.5,2021,januar
Innlandet,6209.0,3.3,2176.0,54.0,2.1,2021,januar
Vestfold og Telemark,9332.0,4.5,3250.0,53.0,2.9,2021,januar
Agder,5983.0,3.9,1973.0,49.0,2.6,2021,januar
Vestland,13396.0,3.9,5845.0,77.0,2.2,2021,januar
Trøndelag - Trööndelage,8768.0,3.5,3623.0,70.0,2.1,2021,januar
Troms og Finnmark - Romsa ja Finnmárku,4352.0,3.3,1495.0,52.0,2.2,2021,januar
Øvrige områder,82.0,,75.0,1071.0,,2021,januar
Ukjent,16.0,,7.0,78.0,,2021,januar
