Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2024,,,,,,2024,august
I alt,60933.0,2.0,6285.0,12.0,1.9,2024,august
Oslo,10979.0,2.7,1275.0,13.0,2.4,2024,august
Rogaland,4828.0,1.8,444.0,10.0,1.7,2024,august
Møre og Romsdal,2393.0,1.7,53.0,2.0,1.7,2024,august
Nordland - Nordlánnda,1901.0,1.5,275.0,17.0,1.3,2024,august
Østfold,4268.0,2.8,313.0,8.0,2.6,2024,august
Akershus,8811.0,2.3,1019.0,13.0,2.1,2024,august
Buskerud,3060.0,2.2,354.0,13.0,2.0,2024,august
Innlandet,3421.0,1.8,166.0,5.0,1.7,2024,august
Vestfold,3041.0,2.4,287.0,10.0,2.2,2024,august
Telemark,2118.0,2.5,129.0,6.0,2.3,2024,august
Agder,3351.0,2.1,352.0,12.0,1.9,2024,august
Vestland,6165.0,1.8,447.0,8.0,1.7,2024,august
Trøndelag - Trööndelage,4448.0,1.8,875.0,24.0,1.4,2024,august
Troms - Romsa - Tromssa ,1204.0,1.3,105.0,10.0,1.2,2024,august
Finnmark - Finnmárku - Finmarkku,923.0,2.3,188.0,26.0,1.9,2024,august
Øvrige områder,17.0,,8.0,89.0,,2024,august
Ukjent,5.0,,-5.0,-50.0,,2024,august
