Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2021,,,,,,2021,oktober
I alt,63298.0,2.2,-36114.0,-36.0,3.5,2021,oktober
Oslo,11259.0,2.8,-7282.0,-39.0,4.7,2021,oktober
Rogaland,5660.0,2.2,-3500.0,-38.0,3.6,2021,oktober
Møre og Romsdal,2732.0,2.0,-1327.0,-33.0,2.9,2021,oktober
Nordland,2092.0,1.7,-1043.0,-33.0,2.5,2021,oktober
Viken,16310.0,2.5,-9022.0,-36.0,3.9,2021,oktober
Innlandet,3120.0,1.7,-1956.0,-39.0,2.7,2021,oktober
Vestfold og Telemark,5299.0,2.5,-2339.0,-31.0,3.6,2021,oktober
Agder,3226.0,2.1,-1764.0,-35.0,3.3,2021,oktober
Vestland,7266.0,2.1,-4211.0,-37.0,3.4,2021,oktober
Trøndelag - Trööndelage,4163.0,1.7,-2279.0,-35.0,2.6,2021,oktober
Troms og Finnmark - Romsa ja Finnmárku,2134.0,1.6,-1339.0,-39.0,2.7,2021,oktober
Øvrige områder,21.0,,-51.0,-71.0,,2021,oktober
Ukjent,16.0,,-1.0,-6.0,,2021,oktober
