Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2018,,,,,,2018,juni
I alt,60738.0,2.2,-10744.0,-15.0,2.6,2018,juni
Østfold,3715.0,2.6,-323.0,-8.0,2.8,2018,juni
Akershus,6013.0,1.8,-627.0,-9.0,2.1,2018,juni
Oslo,9067.0,2.4,-1114.0,-11.0,2.7,2018,juni
Hedmark,1629.0,1.7,-213.0,-12.0,1.9,2018,juni
Oppland,1408.0,1.4,-116.0,-8.0,1.5,2018,juni
Buskerud,3371.0,2.3,-279.0,-8.0,2.5,2018,juni
Vestfold,3357.0,2.7,-316.0,-9.0,2.9,2018,juni
Telemark,2015.0,2.4,-392.0,-16.0,2.8,2018,juni
Aust-Agder,1398.0,2.5,-350.0,-20.0,3.1,2018,juni
Vest-Agder,2262.0,2.4,-599.0,-21.0,3.1,2018,juni
Rogaland,6593.0,2.6,-2942.0,-31.0,3.7,2018,juni
Hordaland,7023.0,2.5,-1329.0,-16.0,3.0,2018,juni
Sogn og Fjordane,742.0,1.3,-104.0,-12.0,1.4,2018,juni
Møre og Romsdal,3080.0,2.2,-656.0,-18.0,2.7,2018,juni
Nordland,2118.0,1.7,-408.0,-16.0,2.0,2018,juni
Troms Romsa,1323.0,1.5,-332.0,-20.0,1.9,2018,juni
Finnmark Finnmárku,1080.0,2.7,-141.0,-12.0,3.0,2018,juni
Trøndelag,4540.0,1.9,-501.0,-10.0,2.1,2018,juni
Øvrige områder,4.0,,-1.0,-20.0,,2018,juni
Ukjent,,,,,,2018,juni
