Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2022,,,,,,2022,november
I alt,45690.0,1.6,-13651.0,-23.0,2.1,2022,november
Oslo,7483.0,1.9,-2937.0,-28.0,2.7,2022,november
Rogaland,3990.0,1.6,-1142.0,-22.0,2.1,2022,november
Møre og Romsdal,2030.0,1.5,-665.0,-25.0,2.0,2022,november
Nordland - Nordlánnda,1493.0,1.2,-545.0,-27.0,1.7,2022,november
Viken,11570.0,1.8,-3596.0,-24.0,2.4,2022,november
Innlandet,2608.0,1.4,-494.0,-16.0,1.7,2022,november
Vestfold og Telemark,4409.0,2.1,-579.0,-12.0,2.4,2022,november
Agder,2606.0,1.7,-374.0,-13.0,2.0,2022,november
Vestland,5076.0,1.5,-1762.0,-26.0,2.1,2022,november
Trøndelag - Trööndelage,2889.0,1.2,-967.0,-25.0,1.6,2022,november
Troms og Finnmark - Romsa ja Finnmárku,1520.0,1.2,-573.0,-27.0,1.7,2022,november
Øvrige områder,7.0,,-18.0,-72.0,,2022,november
Ukjent,9.0,,1.0,13.0,,2022,november
