municipality_code,municipality_name,year,housing_demand,housing_supply,new_housing_demand
4001,Porsgrunn,2026,18172,18061,111
4001,Porsgrunn,2027,18316,18061,255
4001,Porsgrunn,2028,18449,18061,388
4001,Porsgrunn,2029,18583,18061,522
4001,Porsgrunn,2030,18710,18061,649
4001,Porsgrunn,2031,18849,18061,788
4001,Porsgrunn,2032,18967,18061,906
4001,Porsgrunn,2033,19077,18061,1016
4001,Porsgrunn,2034,19184,18061,1123
4001,Porsgrunn,2035,19295,18061,1234
4001,Porsgrunn,2036,19393,18061,1332
4001,Porsgrunn,2037,19495,18061,1434
4001,Porsgrunn,2038,19579,18061,1518
4001,Porsgrunn,2039,19664,18061,1603
4001,Porsgrunn,2040,19745,18061,1684
4001,Porsgrunn,2041,19817,18061,1756
4001,Porsgrunn,2042,19889,18061,1828
4001,Porsgrunn,2043,19952,18061,1891
4001,Porsgrunn,2044,20013,18061,1952
4001,Porsgrunn,2045,20074,18061,2013
4001,Porsgrunn,2046,20132,18061,2071
4001,Porsgrunn,2047,20194,18061,2133
4001,Porsgrunn,2048,20249,18061,2188
4001,Porsgrunn,2049,20300,18061,2239
4001,Porsgrunn,2050,20359,18061,2298
4003,Skien,2026,27213,27124,89
4003,Skien,2027,27469,27124,345
4003,Skien,2028,27682,27124,558
4003,Skien,2029,27895,27124,771
4003,Skien,2030,28090,27124,966
4003,Skien,2031,28268,27124,1144
4003,Skien,2032,28442,27124,1318
4003,Skien,2033,28607,27124,1483
4003,Skien,2034,28765,27124,1641
4003,Skien,2035,28916,27124,1792
4003,Skien,2036,29064,27124,1940
4003,Skien,2037,29210,27124,2086
4003,Skien,2038,29336,27124,2212
4003,Skien,2039,29468,27124,2344
4003,Skien,2040,29578,27124,2454
4003,Skien,2041,29681,27124,2557
4003,Skien,2042,29785,27124,2661
4003,Skien,2043,29875,27124,2751
4003,Skien,2044,29963,27124,2839
4003,Skien,2045,30044,27124,2920
4003,Skien,2046,30128,27124,3004
4003,Skien,2047,30217,27124,3093
4003,Skien,2048,30289,27124,3165
4003,Skien,2049,30365,27124,3241
4003,Skien,2050,30435,27124,3311
4005,Notodden,2026,6432,7227,-795
4005,Notodden,2027,6476,7227,-751
4005,Notodden,2028,6515,7227,-712
4005,Notodden,2029,6546,7227,-681
4005,Notodden,2030,6578,7227,-649
4005,Notodden,2031,6605,7227,-622
4005,Notodden,2032,6634,7227,-593
4005,Notodden,2033,6656,7227,-571
4005,Notodden,2034,6682,7227,-545
4005,Notodden,2035,6706,7227,-521
4005,Notodden,2036,6732,7227,-495
4005,Notodden,2037,6758,7227,-469
4005,Notodden,2038,6772,7227,-455
4005,Notodden,2039,6787,7227,-440
4005,Notodden,2040,6801,7227,-426
4005,Notodden,2041,6809,7227,-418
4005,Notodden,2042,6821,7227,-406
4005,Notodden,2043,6823,7227,-404
4005,Notodden,2044,6833,7227,-394
4005,Notodden,2045,6844,7227,-383
4005,Notodden,2046,6849,7227,-378
4005,Notodden,2047,6854,7227,-373
4005,Notodden,2048,6856,7227,-371
4005,Notodden,2049,6861,7227,-366
4005,Notodden,2050,6862,7227,-365
4010,Siljan,2026,1124,1109,15
4010,Siljan,2027,1131,1109,22
4010,Siljan,2028,1140,1109,31
4010,Siljan,2029,1151,1109,42
4010,Siljan,2030,1159,1109,50
4010,Siljan,2031,1170,1109,61
4010,Siljan,2032,1179,1109,70
4010,Siljan,2033,1190,1109,81
4010,Siljan,2034,1201,1109,92
4010,Siljan,2035,1212,1109,103
4010,Siljan,2036,1222,1109,113
4010,Siljan,2037,1230,1109,121
4010,Siljan,2038,1237,1109,128
4010,Siljan,2039,1248,1109,139
4010,Siljan,2040,1254,1109,145
4010,Siljan,2041,1264,1109,155
4010,Siljan,2042,1270,1109,161
4010,Siljan,2043,1278,1109,169
4010,Siljan,2044,1284,1109,175
4010,Siljan,2045,1289,1109,180
4010,Siljan,2046,1292,1109,183
4010,Siljan,2047,1298,1109,189
4010,Siljan,2048,1302,1109,193
4010,Siljan,2049,1307,1109,198
4010,Siljan,2050,1310,1109,201
4012,Bamble,2026,6954,6784,170
4012,Bamble,2027,7005,6784,221
4012,Bamble,2028,7044,6784,260
4012,Bamble,2029,7079,6784,295
4012,Bamble,2030,7104,6784,320
4012,Bamble,2031,7128,6784,344
4012,Bamble,2032,7156,6784,372
4012,Bamble,2033,7179,6784,395
4012,Bamble,2034,7196,6784,412
4012,Bamble,2035,7211,6784,427
4012,Bamble,2036,7223,6784,439
4012,Bamble,2037,7238,6784,454
4012,Bamble,2038,7248,6784,464
4012,Bamble,2039,7258,6784,474
4012,Bamble,2040,7265,6784,481
4012,Bamble,2041,7270,6784,486
4012,Bamble,2042,7274,6784,490
4012,Bamble,2043,7277,6784,493
4012,Bamble,2044,7277,6784,493
4012,Bamble,2045,7280,6784,496
4012,Bamble,2046,7281,6784,497
4012,Bamble,2047,7285,6784,501
4012,Bamble,2048,7287,6784,503
4012,Bamble,2049,7286,6784,502
4012,Bamble,2050,7287,6784,503
4014,Kragerø,2026,5125,5696,-571
4014,Kragerø,2027,5140,5696,-556
4014,Kragerø,2028,5156,5696,-540
4014,Kragerø,2029,5173,5696,-523
4014,Kragerø,2030,5195,5696,-501
4014,Kragerø,2031,5210,5696,-486
4014,Kragerø,2032,5222,5696,-474
4014,Kragerø,2033,5228,5696,-468
4014,Kragerø,2034,5239,5696,-457
4014,Kragerø,2035,5245,5696,-451
4014,Kragerø,2036,5253,5696,-443
4014,Kragerø,2037,5259,5696,-437
4014,Kragerø,2038,5258,5696,-438
4014,Kragerø,2039,5256,5696,-440
4014,Kragerø,2040,5260,5696,-436
4014,Kragerø,2041,5261,5696,-435
4014,Kragerø,2042,5262,5696,-434
4014,Kragerø,2043,5258,5696,-438
4014,Kragerø,2044,5255,5696,-441
4014,Kragerø,2045,5253,5696,-443
4014,Kragerø,2046,5250,5696,-446
4014,Kragerø,2047,5250,5696,-446
4014,Kragerø,2048,5247,5696,-449
4014,Kragerø,2049,5249,5696,-447
4014,Kragerø,2050,5249,5696,-447
4016,Drangedal,2026,1905,2188,-283
4016,Drangedal,2027,1904,2188,-284
4016,Drangedal,2028,1904,2188,-284
4016,Drangedal,2029,1909,2188,-279
4016,Drangedal,2030,1914,2188,-274
4016,Drangedal,2031,1919,2188,-269
4016,Drangedal,2032,1923,2188,-265
4016,Drangedal,2033,1927,2188,-261
4016,Drangedal,2034,1928,2188,-260
4016,Drangedal,2035,1928,2188,-260
4016,Drangedal,2036,1930,2188,-258
4016,Drangedal,2037,1931,2188,-257
4016,Drangedal,2038,1933,2188,-255
4016,Drangedal,2039,1931,2188,-257
4016,Drangedal,2040,1929,2188,-259
4016,Drangedal,2041,1928,2188,-260
4016,Drangedal,2042,1930,2188,-258
4016,Drangedal,2043,1928,2188,-260
4016,Drangedal,2044,1929,2188,-259
4016,Drangedal,2045,1926,2188,-262
4016,Drangedal,2046,1923,2188,-265
4016,Drangedal,2047,1925,2188,-263
4016,Drangedal,2048,1925,2188,-263
4016,Drangedal,2049,1923,2188,-265
4016,Drangedal,2050,1921,2188,-267
4018,Nome,2026,3141,3204,-63
4018,Nome,2027,3156,3204,-48
4018,Nome,2028,3170,3204,-34
4018,Nome,2029,3182,3204,-22
4018,Nome,2030,3198,3204,-6
4018,Nome,2031,3212,3204,8
4018,Nome,2032,3224,3204,20
4018,Nome,2033,3239,3204,35
4018,Nome,2034,3249,3204,45
4018,Nome,2035,3258,3204,54
4018,Nome,2036,3267,3204,63
4018,Nome,2037,3279,3204,75
4018,Nome,2038,3289,3204,85
4018,Nome,2039,3292,3204,88
4018,Nome,2040,3297,3204,93
4018,Nome,2041,3305,3204,101
4018,Nome,2042,3311,3204,107
4018,Nome,2043,3314,3204,110
4018,Nome,2044,3315,3204,111
4018,Nome,2045,3312,3204,108
4018,Nome,2046,3319,3204,115
4018,Nome,2047,3322,3204,118
4018,Nome,2048,3327,3204,123
4018,Nome,2049,3325,3204,121
4018,Nome,2050,3327,3204,123
4020,Midt-Telemark,2026,5301,6228,-927
4020,Midt-Telemark,2027,5377,6228,-851
4020,Midt-Telemark,2028,5441,6228,-787
4020,Midt-Telemark,2029,5507,6228,-721
4020,Midt-Telemark,2030,5566,6228,-662
4020,Midt-Telemark,2031,5629,6228,-599
4020,Midt-Telemark,2032,5682,6228,-546
4020,Midt-Telemark,2033,5741,6228,-487
4020,Midt-Telemark,2034,5787,6228,-441
4020,Midt-Telemark,2035,5830,6228,-398
4020,Midt-Telemark,2036,5870,6228,-358
4020,Midt-Telemark,2037,5917,6228,-311
4020,Midt-Telemark,2038,5956,6228,-272
4020,Midt-Telemark,2039,5990,6228,-238
4020,Midt-Telemark,2040,6019,6228,-209
4020,Midt-Telemark,2041,6055,6228,-173
4020,Midt-Telemark,2042,6086,6228,-142
4020,Midt-Telemark,2043,6116,6228,-112
4020,Midt-Telemark,2044,6143,6228,-85
4020,Midt-Telemark,2045,6172,6228,-56
4020,Midt-Telemark,2046,6199,6228,-29
4020,Midt-Telemark,2047,6228,6228,0
4020,Midt-Telemark,2048,6257,6228,29
4020,Midt-Telemark,2049,6285,6228,57
4020,Midt-Telemark,2050,6315,6228,87
4022,Seljord,2026,1404,1682,-278
4022,Seljord,2027,1405,1682,-277
4022,Seljord,2028,1411,1682,-271
