Kommune,År (intervall),År,Kjønn,Alder,Krefttyper,Måltall,Antall,SortKjonn,SortKommune
Hele landet,2007-2016,2016-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",35.8,3,2
Hele landet,2007-2016,2016-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",126.9,3,2
Hele landet,2007-2016,2016-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",12.9,3,2
Hele landet,2007-2016,2016-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",639.6,1,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",87.3,1,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",64.8,1,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",76.6,1,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",38.1,1,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",64.3,1,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,2
Hele landet,2008-2017,2017-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",700.5,2,2
Hele landet,2008-2017,2017-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",91.5,2,2
Hele landet,2008-2017,2017-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",71.8,2,2
Hele landet,2008-2017,2017-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",82.2,2,2
Hele landet,2008-2017,2017-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",39.1,2,2
Hele landet,2008-2017,2017-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",0.9,2,2
Hele landet,2008-2017,2017-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,2
