"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"1";"";"1";"Bolig";;
"2";"";"1";"Industri og lagerbygning";;
"3";"";"1";"Kontor- og forretningsbygning";;
"4";"";"1";"Samferdsels- og kommunikasjonsbygning";;
"5";"";"1";"Hotell-  og restaurantbygning";;
"6";"";"1";"Kultur- og forskningsbygning";;
"7";"";"1";"Helsebygning";;
"8";"";"1";"Fengsel, beredskapsbygning mv.";;
"11";"1";"2";"Enebolig";;
"12";"1";"2";"Tomannsbolig";;
"13";"1";"2";"Rekkehus, kjedehus, andre småhus";;
"14";"1";"2";"Store boligbygg";;
"15";"1";"2";"Bygning for bofellesskap";;
"16";"1";"2";"Fritidsbolig";;
"17";"1";"2";"Koie, seterhus og lignende";;
"18";"1";"2";"Garasje og uthus til bolig";;
"19";"1";"2";"Annen boligbygning";;
"21";"2";"2";"Industribygning";;
"22";"2";"2";"Energiforsyningsbygning";;
"23";"2";"2";"Lagerbygning";;
"24";"2";"2";"Fiskeri- og landbruksbygning";;
"31";"3";"2";"Kontorbygning";;
"32";"3";"2";"Forretningsbygning";;
"41";"4";"2";"Ekspedisjonsbygning, terminal";;
"42";"4";"2";"Telekommunikasjonsbygning";;
"43";"4";"2";"Garasje- og hangarbygning";;
"44";"4";"2";"Veg- og trafikktilsynsbygning";;
"51";"5";"2";"Hotellbygning";;
"52";"5";"2";"Bygning for overnatting";;
"53";"5";"2";"Restaurantbygning";;
"61";"6";"2";"Skolebygning";;
"62";"6";"2";"Universitet- og høgskolebygning";;
"64";"6";"2";"Museums- og biblioteksbygning";;
"65";"6";"2";"Idrettsbygning";;
"66";"6";"2";"Kulturhus";;
"67";"6";"2";"Bygning for religiøse aktiviteter";;
"71";"7";"2";"Sykehus";;
"72";"7";"2";"Sykehjem";;
"73";"7";"2";"Primærhelsebygning";;
"81";"8";"2";"Fengselsbygning";;
"82";"8";"2";"Beredskapsbygning";;
"83";"8";"2";"Monument";;
"84";"8";"2";"Offentlig toalett";;
"111";"11";"3";"Enebolig";;
"112";"11";"3";"Enebolig med hybelleilighet, sokkelleilighet o.l.";;
"113";"11";"3";"Våningshus";;
"121";"12";"3";"Tomannsbolig, vertikaldelt";;
"122";"12";"3";"Tomannsbolig, horisontaldelt";;
"123";"12";"3";"Våningshus, tomannsbolig, vertikaldelt";;
"124";"12";"3";"Våningshus, tomannsbolig, horisontaldelt";;
"131";"13";"3";"Rekkehus";;
"133";"13";"3";"Kjedehus inkl. atriumhus";;
"135";"13";"3";"Terrassehus";;
"136";"13";"3";"Andre småhus med 3 boliger eller flere";;
"141";"14";"3";"Store frittliggende boligbygg på 2 etasjer";;
"142";"14";"3";"Store frittliggende boligbygg på 3 og 4 etasjer";;
"143";"14";"3";"Store frittliggende boligbygg på 5 etasjer eller over";;
"144";"14";"3";"Store sammenbygde boligbygg på 2 etasjer";;
"145";"14";"3";"Store sammenbygde boligbygg på 3 og 4 etasjer";;
"146";"14";"3";"Store sammenbygde boligbygg på 5 etasjer og over";;
"151";"15";"3";"Bo- og servicesenter";;
"152";"15";"3";"Studenthjem/studentboliger";;
"159";"15";"3";"Annen bygning for bofellesskap";;
"161";"16";"3";"Fritidsbygning (hytter, sommerhus o.l.)";;
"162";"16";"3";"Helårsbolig benyttet som fritidsbolig";;
"163";"16";"3";"Våningshus benyttet som fritidsbolig";;
"171";"17";"3";"Seterhus, sel, rorbu o.l.";;
