"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"172";"17";"3";"Skogs- og utmarkskoie, gamme";;
"181";"18";"3";"Garasje, uthus, anneks knyttet til bolig";;
"182";"18";"3";"Garasje, uthus, anneks knyttet til fritidsbolig";;
"183";"18";"3";"Naust, båthus, sjøbu";;
"193";"19";"3";"Boligbrakker";;
"199";"19";"3";"Annen boligbygning (f.eks. sekundærbolig reindrift)";;
"211";"21";"3";"Fabrikkbygning";;
"212";"21";"3";"Verkstedbygning";;
"214";"21";"3";"Bygning for renseanlegg";;
"216";"21";"3";"Bygning for vannforsyning, bl.a. pumpestasjon";;
"219";"21";"3";"Annen industribygning";;
"221";"22";"3";"Kraftstasjon (>15 000 kVA)";;
"223";"22";"3";"Transformatorstasjon (>10 000 kVA)";;
"229";"22";"3";"Annen energiforsyningsbygning";;
"231";"23";"3";"Lagerhall";;
"232";"23";"3";"Kjøle- og fryselager";;
"233";"23";"3";"Silobygning";;
"239";"23";"3";"Annen lagerbygning";;
"241";"24";"3";"Hus for dyr, fôrlager, strølager, frukt- og grønnsakslager, landbrukssilo, høy-/korntørke";;
"243";"24";"3";"Veksthus";;
"244";"24";"3";"Driftsbygning for fiske og fangst, inkl. oppdrettsanlegg";;
"245";"24";"3";"Naust/redskapshus for fiske";;
"248";"24";"3";"Annen fiskeri- og fangstbygning";;
"249";"24";"3";"Annen landbruksbygning";;
"311";"31";"3";"Kontor- og administrasjonsbygning, rådhus";;
"312";"31";"3";"Bankbygning, posthus";;
"313";"31";"3";"Mediebygning";;
"319";"31";"3";"Annen kontorbygning";;
"321";"32";"3";"Kjøpesenter, varehus";;
"322";"32";"3";"Butikkbygning";;
"323";"32";"3";"Bensinstasjon";;
"329";"32";"3";"Annen forretningsbygning";;
"330";"32";"3";"Messe- og kongressbygning";;
"411";"41";"3";"Ekspedisjonsbygning, flyterminal, kontrolltårn";;
"412";"41";"3";"Jernbane- og T-banestasjon";;
"415";"41";"3";"Godsterminal";;
"416";"41";"3";"Postterminal";;
"419";"41";"3";"Annen ekspedisjons- og terminalbygning";;
"429";"42";"3";"Telekommunikasjonsbygning";;
"431";"43";"3";"Parkeringshus";;
"439";"43";"3";"Annen garasje- hangarbygning";;
"441";"44";"3";"Trafikktilsynsbygning";;
"449";"44";"3";"Annen veg- og trafikktilsynsbygning";;
"511";"51";"3";"Hotellbygning";;
"512";"51";"3";"Motellbygning";;
"519";"51";"3";"Annen hotellbygning";;
"521";"52";"3";"Hospits, pensjonat";;
"522";"52";"3";"Vandrerhjem, feriehjem/-koloni, turisthytte";;
"523";"52";"3";"Appartement";;
"524";"52";"3";"Campinghytte/utleiehytte";;
"529";"52";"3";"Annen bygning for overnatting";;
"531";"53";"3";"Restaurantbygning, kafébygning";;
"532";"53";"3";"Sentralkjøkken, kantinebygning";;
"533";"53";"3";"Gatekjøkken, kioskbygning";;
"539";"53";"3";"Annen restaurantbygning";;
"611";"61";"3";"Lekepark";;
"612";"61";"3";"Barnehage";;
"613";"61";"3";"Barneskole";;
"614";"61";"3";"Ungdomsskole";;
"615";"61";"3";"Kombinert barne- og ungdomsskole";;
"616";"61";"3";"Videregående skole";;
"619";"61";"3";"Annen skolebygning";;
"621";"62";"3";"Universitets- og høgskolebygning med integrerte funksjoner, auditorium, lesesal o.a.";;
"623";"62";"3";"Laboratoriebygning";;
"629";"62";"3";"Annen universitets-, høgskole- og forskningsbygning";;
"641";"64";"3";"Museum, kunstgalleri";;
"642";"64";"3";"Bibliotek, mediatek";;
"643";"64";"3";"Zoologisk og botanisk hage";;
"649";"64";"3";"Annen museums- og bibliotekbygning";;
"651";"65";"3";"Idrettshall";;
"652";"65";"3";"Ishall";;
"653";"65";"3";"Svømmehall";;
"654";"65";"3";"Tribune og idrettsgarderobe";;
"655";"65";"3";"Helsestudio";;
"659";"65";"3";"Annen idrettsbygning";;
"661";"66";"3";"Kinobygning, teaterbygning, opera/konserthus";;
"662";"66";"3";"Samfunnshus, grendehus";;
"663";"66";"3";"Diskotek";;
"669";"66";"3";"Annet kulturhus";;
"671";"67";"3";"Kirke, kapell";;
"672";"67";"3";"Bedehus, menighetshus";;
"673";"67";"3";"Krematorium, gravkapell, bårehus";;
"674";"67";"3";"Synagoge, moské";;
"675";"67";"3";"Kloster";;
"679";"67";"3";"Annen bygning for religiøse aktiviteter";;
"719";"71";"3";"Sykehus";;
"721";"72";"3";"Sykehjem";;
"722";"72";"3";"Bo- og behandlingssenter, aldershjem";;
"723";"72";"3";"Rehabiliteringsinstitusjon, kurbad";;
"729";"72";"3";"Annet sykehjem";;
"731";"73";"3";"Klinikk, legekontor/-senter/-vakt";;
"732";"73";"3";"Helse- og sosialsenter, helsestasjon";;
"739";"73";"3";"Annen primærhelsebygning";;
"819";"81";"3";"Fengselsbygning";;
"821";"82";"3";"Politistasjon";;
"822";"82";"3";"Brannstasjon, ambulansestasjon";;
"823";"82";"3";"Fyrstasjon, losstasjon";;
"824";"82";"3";"Stasjon for radarovervåkning av fly- og/eller skipstrafikk";;
"825";"82";"3";"Tilfluktsrom/bunker";;
"829";"82";"3";"Annen beredskapsbygning";;
"830";"83";"3";"Monument";;
"840";"84";"3";"Offentlig toalett";;
