Kommune,Andel (2025),Label
Bamble,79,Bamble
Drangedal,80,Drangedal
Fyresdal,81,Fyresdal
Hjartdal,81,Hjartdal
Kragerø,78,Kragerø
Kviteseid,77,Kviteseid
Midt-Telemark,78,Midt-Telemark
Nissedal,83,Nissedal
Nome,78,Nome
Notodden,77,Notodden
Porsgrunn,78,Porsgrunn
Seljord,78,Seljord
Siljan,82,Siljan
Skien,76,Skien
Tinn,77,Tinn
Tokke,80,Tokke
Vinje,81,Vinje
Telemark,78,Telemark
Landet,80,Landet
