Kommune,Andel (2023),Label
Bamble,62.3,Bamble
Drangedal,63.6,Drangedal
Fyresdal,68.0,Fyresdal
Hjartdal,65.8,Hjartdal
Kragerø,63.1,Kragerø
Kviteseid,63.7,Kviteseid
Midt-Telemark,57.7,Midt-Telemark
Nissedal,75.2,Nissedal
Nome,60.2,Nome
Notodden,57.0,Notodden
Porsgrunn,60.4,Porsgrunn
Seljord,66.0,Seljord
Siljan,66.5,Siljan
Skien,57.2,Skien
Tinn,62.0,Tinn
Tokke,69.5,Tokke
Vinje,67.1,Vinje
Telemark,60.1,Telemark
Landet,62.4,Landet
