ssbid;Kommune;Sentrum_KPA_Byform_centroid;Sentrum_KPA_Byform_manuell;Gangby_Dagens_centroid;Gangby_framtid_centroid;Sykkelby_Dagens_centroid;Sykkelby_Framtid_centroid;InnMotSentrum_KunPors_centroid;Bybaand_manuell;ATPG_sentrumsomraade_centroid;Shape_Length;Shape_Area;Bybaand_centroid;X;Y;Sykkelby_Framtid_manuell;X_decimaldegrees;Y_decimaldegrees
21700006570250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170125;6570375;0;9,229542759999999;59,144086410000000
21702506569250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170375;6569375;0;9,235397400000000;59,135345119999997
21702506569500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170375;6569625;0;9,235020720000000;59,137578869999999
21702506569750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170375;6569875;0;9,234643980000000;59,139812630000002
21702506570000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170375;6570125;0;9,234267190000001;59,142046379999996
21702506570250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170375;6570375;0;9,233890340000000;59,144280119999998
21702506570500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170375;6570625;0;9,233513430000000;59,146513870000000
21705006569000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170625;6569125;0;9,240120250000000;59,133304840000001
21705006569250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170625;6569375;0;9,239743910000000;59,135538609999998
21705006569500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170625;6569625;0;9,239367520000000;59,137772390000002
21705006569750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170625;6569875;0;9,238991060000000;59,140006159999999
21705006570000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170625;6570125;0;9,238614549999999;59,142239920000002
21705006570250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170625;6570375;0;9,238237979999999;59,144473689999998
21705006570500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170625;6570625;0;9,237861349999999;59,146707450000001
21707506568250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6568375;0;9,245594380000000;59,126796790000000
21707506568500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6568625;0;9,245218489999999;59,129030589999999
21707506568750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6568875;0;9,244842550000000;59,131264379999998
21707506569000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6569125;0;9,244466550000000;59,133498170000003
21707506569250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6569375;0;9,244090490000000;59,135731970000002
21707506569500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6569625;0;9,243714369999999;59,137965749999999
21707506569750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6569875;0;9,243338200000000;59,140199539999998
21707506570000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6570125;0;9,242961960000001;59,142433320000002
21707506570250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6570375;0;9,242585670000000;59,144667099999999
21707506570500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6570625;0;9,242209320000001;59,146900879999997
21707506570750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;170875;6570875;0;9,241832920000000;59,149134660000001
21710006568000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6568125;0;9,250315440000000;59,124756110000000
21710006568250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6568375;0;9,249939890000000;59,126989930000001
21710006568500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6568625;0;9,249564290000000;59,129223740000000
21710006568750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6568875;0;9,249188620000000;59,131457550000000
21710006569000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6569125;0;9,248812900000001;59,133691360000000
21710006569250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6569375;0;9,248437120000000;59,135925170000000
21710006569500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6569625;0;9,248061290000001;59,138158980000000
21710006569750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6569875;0;9,247685389999999;59,140392779999999
21710006570000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6570125;0;9,247309440000000;59,142626579999998
21710006570250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6570375;0;9,246933430000000;59,144860379999997
21710006570500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6570625;0;9,246557360000001;59,147094170000003
21710006570750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6570875;0;9,246181229999999;59,149327970000002
21710006571000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171125;6571125;0;9,245805050000000;59,151561760000000
21712506565250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6565375;0;9,258784889999999;59,100376769999997
21712506565500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6565625;0;9,258410260000000;59,102610630000001
21712506567500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6567625;0;9,255411100000000;59,120481409999996
21712506567750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6567875;0;9,255035940000001;59,122715249999999
21712506568000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6568125;0;9,254660729999999;59,124949090000001
21712506568250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6568375;0;9,254285460000000;59,127182920000003
21712506568500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6568625;0;9,253910140000000;59,129416749999997
21712506568750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6568875;0;9,253534750000000;59,131650579999999
21712506569000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6569125;0;9,253159309999999;59,133884410000000
21712506569250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6569375;0;9,252783810000000;59,136118230000001
21712506569500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6569625;0;9,252408259999999;59,138352050000002
21712506569750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6569875;0;9,252032639999999;59,140585870000002
21712506570000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6570125;0;9,251656970000001;59,142819690000003
21712506570250;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6570375;0;9,251281240000001;59,145053509999997
21712506570500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6570625;0;9,250905449999999;59,147287319999997
21712506570750;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6570875;0;9,250529609999999;59,149521129999997
21712506571000;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6571125;0;9,250153700000000;59,151754939999996
21712506571500;Skien;0;0;0;0;0;0;0;0;0;1000;62500;0;171375;6571625;0;9,249401720000000;59,156222550000003
