Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2018,,,,,,2018,november
I alt,62434.0,2.3,,,2.3,2018,november
Østfold,3997.0,2.8,,,2.7,2018,november
Akershus,6198.0,1.9,,,1.9,2018,november
Oslo,9664.0,2.5,,,2.5,2018,november
Hedmark,1981.0,2.0,,,1.8,2018,november
Oppland,1684.0,1.7,,,1.5,2018,november
Buskerud,3465.0,2.4,,,2.2,2018,november
Vestfold,3457.0,2.8,,,2.7,2018,november
Telemark,2184.0,2.6,,,2.3,2018,november
Aust-Agder,1255.0,2.2,,,3.0,2018,november
Vest-Agder,2127.0,2.3,,,2.6,2018,november
Rogaland,6108.0,2.4,,,3.1,2018,november
Hordaland,7056.0,2.6,,,2.7,2018,november
Sogn og Fjordane,809.0,1.4,,,1.3,2018,november
Møre og Romsdal,3015.0,2.2,,,2.4,2018,november
Nordland,2420.0,2.0,,,1.8,2018,november
Troms Romsa,1464.0,1.6,,,1.6,2018,november
Finnmark Finnmárku,1070.0,2.7,,,2.6,2018,november
Trøndelag,4471.0,1.8,,,1.8,2018,november
Øvrige områder,8.0,,,,,2018,november
Ukjent,,,,,,2018,november
