Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2018,,,,,,2018,september
I alt,,63472.0,2.3,-5407.0,-8.0,2018,september
Østfold,,3960.0,2.8,-213.0,-5.0,2018,september
Akershus,,6486.0,2.0,97.0,2.0,2018,september
Oslo,,9765.0,2.6,-400.0,-4.0,2018,september
Hedmark,,1817.0,1.9,21.0,1.0,2018,september
Oppland,,1539.0,1.6,153.0,11.0,2018,september
Buskerud,,3456.0,2.4,-24.0,-1.0,2018,september
Vestfold,,3594.0,2.9,-13.0,0.0,2018,september
Telemark,,2208.0,2.6,10.0,0.0,2018,september
Aust-Agder,,1351.0,2.4,-431.0,-24.0,2018,september
Vest-Agder,,2277.0,2.4,-451.0,-17.0,2018,september
Rogaland,,6543.0,2.6,-2254.0,-26.0,2018,september
Hordaland,,7213.0,2.6,-677.0,-9.0,2018,september
Sogn og Fjordane,,805.0,1.4,-42.0,-5.0,2018,september
Møre og Romsdal,,3193.0,2.3,-371.0,-10.0,2018,september
Nordland,,2344.0,1.9,-116.0,-5.0,2018,september
Troms Romsa,,1407.0,1.6,-109.0,-7.0,2018,september
Finnmark Finnmárku,,1063.0,2.7,-19.0,-2.0,2018,september
Trøndelag,,4447.0,1.8,-561.0,-11.0,2018,september
Øvrige områder,,4.0,,-6.0,-60.0,2018,september
Ukjent,,,,,,2018,september
