Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2015,,,,,,2015,februar
I alt,81534.0,3.0,3662.0,5.0,2.9,2015,februar
Østfold,5316.0,3.7,-417.0,-7.0,4.0,2015,februar
Akershus,8221.0,2.7,350.0,4.0,2.6,2015,februar
Oslo,13128.0,3.7,-142.0,-1.0,3.7,2015,februar
Hedmark,2776.0,2.9,-390.0,-12.0,3.3,2015,februar
Oppland,2276.0,2.4,-159.0,-7.0,2.5,2015,februar
Buskerud,4261.0,3.0,-5.0,0.0,3.0,2015,februar
Vestfold,4012.0,3.3,-81.0,-2.0,3.3,2015,februar
Telemark,3371.0,3.9,441.0,15.0,3.4,2015,februar
Aust-Agder,2158.0,3.8,-14.0,-1.0,3.8,2015,februar
Vest-Agder,3044.0,3.3,244.0,9.0,3.1,2015,februar
Rogaland,7433.0,2.9,1949.0,36.0,2.2,2015,februar
Hordaland,7193.0,2.7,1024.0,17.0,2.3,2015,februar
Sogn og Fjordane,1199.0,2.1,12.0,1.0,2.1,2015,februar
Møre og Romsdal,3437.0,2.5,359.0,12.0,2.2,2015,februar
Sør-Trøndelag,4444.0,2.7,254.0,6.0,2.6,2015,februar
Nord-Trøndelag,1998.0,2.9,-2.0,0.0,2.9,2015,februar
Nordland,3668.0,3.0,137.0,4.0,2.9,2015,februar
Troms,1945.0,2.3,-30.0,-2.0,2.3,2015,februar
Finnmark,1457.0,3.7,71.0,5.0,3.5,2015,februar
Øvrige områder,20.0,,7.0,54.0,,2015,februar
Ukjent,177.0,,54.0,44.0,,2015,februar
