Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2022,,,,,,2022,oktober
I alt,45406.0,1.6,-17892.0,-28.0,2.2,2022,oktober
Oslo,7683.0,1.9,-3576.0,-32.0,2.9,2022,oktober
Rogaland,3796.0,1.5,-1864.0,-33.0,2.3,2022,oktober
Møre og Romsdal,1943.0,1.4,-789.0,-29.0,2.0,2022,oktober
Nordland - Nordlánnda,1407.0,1.2,-685.0,-33.0,1.7,2022,oktober
Viken,11684.0,1.8,-4626.0,-28.0,2.6,2022,oktober
Innlandet,2557.0,1.4,-563.0,-18.0,1.7,2022,oktober
Vestfold og Telemark,4311.0,2.1,-988.0,-19.0,2.6,2022,oktober
Agder,2618.0,1.7,-608.0,-19.0,2.2,2022,oktober
Vestland,5033.0,1.5,-2233.0,-31.0,2.2,2022,oktober
Trøndelag - Trööndelage,2833.0,1.1,-1330.0,-32.0,1.7,2022,oktober
Troms og Finnmark - Romsa ja Finnmárku,1523.0,1.2,-611.0,-29.0,1.7,2022,oktober
Øvrige områder,11.0,,-10.0,-48.0,,2022,oktober
Ukjent,7.0,,-9.0,-56.0,,2022,oktober
