Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2024,,,,,,2024,februar
I alt,62506.0,2.1,7778.0,14.0,1.9,2024,februar
Oslo,10752.0,2.6,1560.0,17.0,2.3,2024,februar
Rogaland,4813.0,1.8,425.0,10.0,1.7,2024,februar
Møre og Romsdal,2588.0,1.9,345.0,15.0,1.6,2024,februar
Nordland - Nordlánnda,2072.0,1.7,344.0,20.0,1.4,2024,februar
Østfold,4293.0,2.8,293.0,7.0,2.7,2024,februar
Akershus,8923.0,2.3,1454.0,19.0,2.0,2024,februar
Buskerud,3210.0,2.3,507.0,19.0,2.0,2024,februar
Innlandet,3480.0,1.9,324.0,10.0,1.7,2024,februar
Vestfold,3419.0,2.7,294.0,9.0,2.5,2024,februar
Telemark,2128.0,2.5,54.0,3.0,2.4,2024,februar
Agder,3466.0,2.2,495.0,17.0,1.9,2024,februar
Vestland,6602.0,1.9,592.0,10.0,1.8,2024,februar
Trøndelag - Trööndelage,4445.0,1.8,672.0,18.0,1.5,2024,februar
Troms - Romsa - Tromssa ,1317.0,1.5,244.0,23.0,1.2,2024,februar
Finnmark - Finnmárku - Finmarkku,974.0,2.5,168.0,21.0,2.1,2024,februar
Øvrige områder,11.0,,3.0,38.0,,2024,februar
Ukjent,13.0,,4.0,44.0,,2024,februar
