Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2020,,,,,,2020,mai
I alt,181469.0,6.4,121656.0,203.0,2.1,2020,mai
Oslo,34121.0,8.6,24548.0,256.0,2.5,2020,mai
Rogaland,15833.0,6.2,10181.0,180.0,2.2,2020,mai
Møre og Romsdal,7502.0,5.4,4746.0,172.0,2.0,2020,mai
Nordland,6044.0,4.9,3759.0,165.0,1.8,2020,mai
Viken,43831.0,6.8,30046.0,218.0,2.2,2020,mai
Innlandet,10100.0,5.4,6626.0,191.0,1.8,2020,mai
Vestfold og Telemark,13375.0,6.4,8015.0,150.0,2.6,2020,mai
Agder,9034.0,5.9,5851.0,184.0,2.1,2020,mai
Vestland,20677.0,6.1,13703.0,196.0,2.1,2020,mai
Trøndelag - Trööndelage,12998.0,5.2,8763.0,207.0,1.7,2020,mai
Troms og Finnmark - Romsa ja Finnmárku,7577.0,5.8,5052.0,200.0,1.9,2020,mai
Øvrige områder,229.0,,221.0,2763.0,,2020,mai
Ukjent,148.0,,,,,2020,mai
