Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2021,,,,,,2021,mars
I alt,119331.0,4.2,-181303.0,-60.0,10.6,2021,mars
Oslo,25598.0,6.4,-27855.0,-52.0,13.5,2021,mars
Rogaland,9560.0,3.7,-15495.0,-62.0,9.8,2021,mars
Møre og Romsdal,3951.0,2.8,-9923.0,-72.0,10.0,2021,mars
Nordland,3722.0,3.0,-6793.0,-65.0,8.5,2021,mars
Viken,32360.0,5.0,-38361.0,-54.0,11.0,2021,mars
Innlandet,5403.0,2.9,-12918.0,-71.0,9.7,2021,mars
Vestfold og Telemark,10312.0,4.9,-11800.0,-53.0,10.6,2021,mars
Agder,5427.0,3.6,-10133.0,-65.0,10.2,2021,mars
Vestland,11963.0,3.5,-22311.0,-65.0,10.1,2021,mars
Trøndelag - Trööndelage,7322.0,2.9,-16388.0,-69.0,9.5,2021,mars
Troms og Finnmark - Romsa ja Finnmárku,3647.0,2.8,-8957.0,-71.0,9.6,2021,mars
Øvrige områder,50.0,,-185.0,-79.0,,2021,mars
Ukjent,16.0,,-184.0,-92.0,,2021,mars
