Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2024,,,,,,2024,oktober
I alt,58052.0,1.9,5630.0,11.0,1.8,2024,oktober
Oslo,10458.0,2.5,856.0,9.0,2.4,2024,oktober
Rogaland,4609.0,1.8,333.0,8.0,1.7,2024,oktober
Møre og Romsdal,2193.0,1.6,177.0,9.0,1.5,2024,oktober
Nordland - Nordlánnda,1788.0,1.5,187.0,12.0,1.3,2024,oktober
Østfold,3965.0,2.6,300.0,8.0,2.4,2024,oktober
Akershus,8358.0,2.2,840.0,11.0,2.0,2024,oktober
Buskerud,3018.0,2.2,357.0,13.0,1.9,2024,oktober
Innlandet,3375.0,1.8,559.0,20.0,1.5,2024,oktober
Vestfold,2975.0,2.3,249.0,9.0,2.2,2024,oktober
Telemark,2010.0,2.3,215.0,12.0,2.1,2024,oktober
Agder,3230.0,2.1,246.0,8.0,1.9,2024,oktober
Vestland,5832.0,1.7,429.0,8.0,1.6,2024,oktober
Trøndelag - Trööndelage,4179.0,1.7,704.0,20.0,1.4,2024,oktober
Troms - Romsa - Tromssa ,1100.0,1.2,60.0,6.0,1.2,2024,oktober
Finnmark - Finnmárku - Finmarkku,934.0,2.4,105.0,13.0,2.1,2024,oktober
Øvrige områder,20.0,,14.0,233.0,,2024,oktober
Ukjent,8.0,,-1.0,-11.0,,2024,oktober
