Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2024,,,,,,2024,april
I alt,58406.0,2.0,5207.0,10.0,1.8,2024,april
Oslo,10379.0,2.5,1260.0,14.0,2.3,2024,april
Rogaland,4524.0,1.7,207.0,5.0,1.7,2024,april
Møre og Romsdal,2318.0,1.7,-5.0,0.0,1.7,2024,april
Nordland - Nordlánnda,1915.0,1.6,286.0,18.0,1.3,2024,april
Østfold,3949.0,2.6,33.0,1.0,2.6,2024,april
Akershus,8587.0,2.2,1200.0,16.0,2.0,2024,april
Buskerud,3078.0,2.2,436.0,17.0,1.9,2024,april
Innlandet,3349.0,1.8,270.0,9.0,1.7,2024,april
Vestfold,3027.0,2.4,145.0,5.0,2.3,2024,april
Telemark,1983.0,2.3,29.0,1.0,2.3,2024,april
Agder,3013.0,1.9,223.0,8.0,1.8,2024,april
Vestland,5979.0,1.7,235.0,4.0,1.7,2024,april
Trøndelag - Trööndelage,4051.0,1.6,492.0,14.0,1.4,2024,april
Troms - Romsa - Tromssa ,1275.0,1.4,209.0,20.0,1.2,2024,april
Finnmark - Finnmárku - Finmarkku,962.0,2.4,188.0,24.0,2.0,2024,april
Øvrige områder,11.0,,4.0,57.0,,2024,april
Ukjent,6.0,,-5.0,-45.0,,2024,april
