Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Desember 2019,,,,,,2019,desember
I alt,60736.0,2.2,-2741.0,-4.0,2.3,2019,desember
Østfold,4448.0,3.1,274.0,7.0,2.9,2019,desember
Akershus,6623.0,2.0,462.0,7.0,1.9,2019,desember
Oslo,9458.0,2.4,-293.0,-3.0,2.6,2019,desember
Hedmark,1943.0,2.0,-136.0,-7.0,2.1,2019,desember
Oppland,1826.0,1.9,80.0,5.0,1.8,2019,desember
Buskerud,3205.0,2.2,-274.0,-8.0,2.4,2019,desember
Vestfold,3337.0,2.6,-188.0,-5.0,2.8,2019,desember
Telemark,2055.0,2.4,-130.0,-6.0,2.6,2019,desember
Aust-Agder,1371.0,2.4,84.0,7.0,2.3,2019,desember
Vest-Agder,2187.0,2.3,43.0,2.0,2.3,2019,desember
Rogaland,5513.0,2.2,-666.0,-11.0,2.5,2019,desember
Hordaland,5989.0,2.1,-1217.0,-17.0,2.6,2019,desember
Sogn og Fjordane,798.0,1.4,-81.0,-9.0,1.5,2019,desember
Møre og Romsdal,2709.0,2.0,-412.0,-13.0,2.3,2019,desember
Nordland,2386.0,1.9,-63.0,-3.0,2.0,2019,desember
Troms Romsa,1392.0,1.5,-106.0,-7.0,1.7,2019,desember
Finnmark Finnmárku,1086.0,2.7,1.0,0.0,2.7,2019,desember
Trøndelag,4391.0,1.8,-126.0,-3.0,1.9,2019,desember
Øvrige områder,7.0,,0.0,0.0,,2019,desember
Ukjent,12.0,,7.0,140.0,,2019,desember
