Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Desember 2015,,,,,2015,desember
I alt,80846.0,3.0,9112.0,13.0,2015,desember
Østfold,4723.0,3.3,41.0,1.0,2015,desember
Akershus,7517.0,2.4,-61.0,-1.0,2015,desember
Oslo,11634.0,3.2,-292.0,-2.0,2015,desember
Hedmark,2236.0,2.3,-327.0,-13.0,2015,desember
Oppland,1928.0,2.0,-55.0,-3.0,2015,desember
Buskerud,3982.0,2.7,2.0,0.0,2015,desember
Vestfold,3523.0,2.8,-8.0,0.0,2015,desember
Telemark,2965.0,3.4,54.0,2.0,2015,desember
Aust-Agder,2299.0,4.0,388.0,20.0,2015,desember
Vest-Agder,3225.0,3.5,541.0,20.0,2015,desember
Rogaland,10955.0,4.3,4925.0,82.0,2015,desember
Hordaland,8294.0,3.0,2210.0,36.0,2015,desember
Sogn og Fjordane,1129.0,2.0,199.0,21.0,2015,desember
Møre og Romsdal,4076.0,2.9,1171.0,40.0,2015,desember
Sør-Trøndelag,4150.0,2.5,240.0,6.0,2015,desember
Nord-Trøndelag,1753.0,2.6,51.0,3.0,2015,desember
Nordland,3308.0,2.7,96.0,3.0,2015,desember
Troms,1774.0,2.1,13.0,1.0,2015,desember
Finnmark,1337.0,3.4,28.0,2.0,2015,desember
Øvrige områder,10.0,,1.0,11.0,2015,desember
Ukjent,28.0,,-105.0,-79.0,2015,desember
