Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2023,,,,,,2023,mars
I alt,53456.0,1.8,-4912.0,-8.0,2.0,2023,mars
Oslo,9063.0,2.2,-1072.0,-11.0,2.5,2023,mars
Rogaland,4262.0,1.7,-591.0,-12.0,1.9,2023,mars
Møre og Romsdal,2306.0,1.7,-213.0,-8.0,1.8,2023,mars
Nordland - Nordlánnda,1555.0,1.3,-282.0,-15.0,1.5,2023,mars
Viken,13916.0,2.1,-1418.0,-9.0,2.3,2023,mars
Innlandet,3111.0,1.7,-33.0,-1.0,1.7,2023,mars
Vestfold og Telemark,5003.0,2.4,-141.0,-3.0,2.5,2023,mars
Agder,2872.0,1.8,-3.0,0.0,1.9,2023,mars
Vestland,5835.0,1.7,-670.0,-10.0,1.9,2023,mars
Trøndelag - Trööndelage,3679.0,1.5,-159.0,-4.0,1.5,2023,mars
Troms og Finnmark - Romsa ja Finnmárku,1835.0,1.4,-310.0,-14.0,1.7,2023,mars
Øvrige områder,9.0,,-1.0,-10.0,,2023,mars
Ukjent,10.0,,-19.0,-66.0,,2023,mars
