Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2019,,,,,,2019,august
I alt,65061.0,2.3,-2025.0,-3.0,2.4,2019,august
Østfold,4614.0,3.2,441.0,11.0,2.9,2019,august
Akershus,6805.0,2.0,104.0,2.0,2.1,2019,august
Oslo,10427.0,2.7,234.0,2.0,2.7,2019,august
Hedmark,2027.0,2.1,110.0,6.0,2.0,2019,august
Oppland,1743.0,1.8,175.0,11.0,1.6,2019,august
Buskerud,3577.0,2.4,-66.0,-2.0,2.5,2019,august
Vestfold,3570.0,2.8,-123.0,-3.0,3.0,2019,august
Telemark,2274.0,2.7,23.0,1.0,2.6,2019,august
Aust-Agder,1448.0,2.5,-123.0,-8.0,2.8,2019,august
Vest-Agder,2335.0,2.5,-150.0,-6.0,2.7,2019,august
Rogaland,6011.0,2.4,-1015.0,-14.0,2.8,2019,august
Hordaland,6568.0,2.4,-966.0,-13.0,2.7,2019,august
Sogn og Fjordane,895.0,1.5,23.0,3.0,1.5,2019,august
Møre og Romsdal,3065.0,2.2,-367.0,-11.0,2.5,2019,august
Nordland,2276.0,1.8,-183.0,-7.0,2.0,2019,august
Troms Romsa,1549.0,1.7,62.0,4.0,1.7,2019,august
Finnmark Finnmárku,1082.0,2.7,-95.0,-8.0,2.9,2019,august
Trøndelag,4777.0,1.9,-122.0,-2.0,2.0,2019,august
Øvrige områder,9.0,,5.0,125.0,,2019,august
Ukjent,9.0,,,,,2019,august
