Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2024,,,,,,2024,mai
I alt,56300.0,1.9,7461.0,15.0,1.7,2024,mai
Oslo,10064.0,2.5,1476.0,17.0,2.1,2024,mai
Rogaland,4377.0,1.7,422.0,11.0,1.5,2024,mai
Møre og Romsdal,2235.0,1.6,197.0,10.0,1.5,2024,mai
Nordland - Nordlánnda,1848.0,1.5,251.0,16.0,1.3,2024,mai
Østfold,3921.0,2.6,316.0,9.0,2.4,2024,mai
Akershus,8216.0,2.1,1274.0,18.0,1.8,2024,mai
Buskerud,2932.0,2.1,530.0,22.0,1.8,2024,mai
Innlandet,3255.0,1.7,432.0,15.0,1.5,2024,mai
Vestfold,2812.0,2.2,249.0,10.0,2.0,2024,mai
Telemark,1874.0,2.2,115.0,7.0,2.1,2024,mai
Agder,2994.0,1.9,441.0,17.0,1.6,2024,mai
Vestland,5682.0,1.7,491.0,9.0,1.5,2024,mai
Trøndelag - Trööndelage,3939.0,1.6,831.0,27.0,1.2,2024,mai
Troms - Romsa - Tromssa ,1188.0,1.3,200.0,20.0,1.1,2024,mai
Finnmark - Finnmárku - Finmarkku,941.0,2.4,224.0,31.0,1.8,2024,mai
Øvrige områder,14.0,,,,,2024,mai
Ukjent,8.0,,1.0,14.0,,2024,mai
