Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2023,,,,,,2023,februar
I alt,54728.0,1.9,-9711.0,-15.0,2.2,2023,februar
Oslo,9192.0,2.3,-2013.0,-18.0,2.8,2023,februar
Rogaland,4388.0,1.7,-902.0,-17.0,2.1,2023,februar
Møre og Romsdal,2243.0,1.6,-548.0,-20.0,2.0,2023,februar
Nordland - Nordlánnda,1728.0,1.4,-334.0,-16.0,1.7,2023,februar
Viken,14172.0,2.1,-2361.0,-14.0,2.5,2023,februar
Innlandet,3156.0,1.7,-272.0,-8.0,1.8,2023,februar
Vestfold og Telemark,5199.0,2.5,-519.0,-9.0,2.7,2023,februar
Agder,2971.0,1.9,-324.0,-10.0,2.1,2023,februar
Vestland,6010.0,1.8,-1362.0,-18.0,2.2,2023,februar
Trøndelag - Trööndelage,3773.0,1.5,-590.0,-14.0,1.8,2023,februar
Troms og Finnmark - Romsa ja Finnmárku,1879.0,1.5,-472.0,-20.0,1.8,2023,februar
Øvrige områder,8.0,,-13.0,-62.0,,2023,februar
Ukjent,9.0,,-1.0,-10.0,,2023,februar
