Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
August 2014,,,,,2014,august
I alt,78927.0,2.9,5404.0,7.0,2014,august
Østfold,5370.0,3.8,94.0,2.0,2014,august
Akershus,8176.0,2.7,782.0,11.0,2014,august
Oslo,13286.0,3.7,538.0,4.0,2014,august
Hedmark,2902.0,3.0,148.0,5.0,2014,august
Oppland,2195.0,2.3,-124.0,-5.0,2014,august
Buskerud,4286.0,3.0,549.0,15.0,2014,august
Vestfold,4076.0,3.3,231.0,6.0,2014,august
Telemark,3231.0,3.7,287.0,10.0,2014,august
Aust-Agder,2048.0,3.6,90.0,5.0,2014,august
Vest-Agder,2882.0,3.1,232.0,9.0,2014,august
Rogaland,5642.0,2.2,791.0,16.0,2014,august
Hordaland,6719.0,2.5,675.0,11.0,2014,august
Sogn og Fjordane,1132.0,2.0,-28.0,-2.0,2014,august
Møre og Romsdal,3241.0,2.4,197.0,6.0,2014,august
Sør-Trøndelag,4403.0,2.7,538.0,14.0,2014,august
Nord-Trøndelag,1994.0,2.9,316.0,19.0,2014,august
Nordland,3672.0,3.0,-50.0,-1.0,2014,august
Troms,2066.0,2.4,4.0,0.0,2014,august
Finnmark,1473.0,3.8,106.0,8.0,2014,august
Øvrige områder,3.0,,-8.0,-73.0,2014,august
Ukjent,130.0,,36.0,38.0,2014,august
