Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2019,,,,,,2019,oktober
I alt,59549.0,2.1,-1982.0,-3.0,2.2,2019,oktober
Østfold,4367.0,3.0,501.0,13.0,2.7,2019,oktober
Akershus,6573.0,2.0,458.0,7.0,1.9,2019,oktober
Oslo,9474.0,2.4,-96.0,-1.0,2.5,2019,oktober
Hedmark,1856.0,1.9,49.0,3.0,1.9,2019,oktober
Oppland,1715.0,1.7,134.0,8.0,1.6,2019,oktober
Buskerud,3229.0,2.2,-242.0,-7.0,2.4,2019,oktober
Vestfold,3322.0,2.6,-220.0,-6.0,2.8,2019,oktober
Telemark,1999.0,2.3,-145.0,-7.0,2.5,2019,oktober
Aust-Agder,1322.0,2.3,29.0,2.0,2.3,2019,oktober
Vest-Agder,2167.0,2.3,-29.0,-1.0,2.3,2019,oktober
Rogaland,5508.0,2.2,-554.0,-9.0,2.4,2019,oktober
Hordaland,5868.0,2.1,-1165.0,-17.0,2.5,2019,oktober
Sogn og Fjordane,723.0,1.2,-24.0,-3.0,1.3,2019,oktober
Møre og Romsdal,2610.0,1.9,-388.0,-13.0,2.2,2019,oktober
Nordland,2227.0,1.8,-102.0,-4.0,1.9,2019,oktober
Troms Romsa,1361.0,1.5,-16.0,-1.0,1.5,2019,oktober
Finnmark Finnmárku,975.0,2.4,-60.0,-6.0,2.6,2019,oktober
Trøndelag,4240.0,1.7,-118.0,-3.0,1.8,2019,oktober
Øvrige områder,7.0,,1.0,17.0,,2019,oktober
Ukjent,6.0,,,,,2019,oktober
