Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Februar 2014,,,,,2014,februar
I alt,77872.0,2.9,7852.0,11.0,2014,februar
Østfold,5733.0,4.1,760.0,15.0,2014,februar
Akershus,7871.0,2.6,999.0,15.0,2014,februar
Oslo,13270.0,3.8,1485.0,13.0,2014,februar
Hedmark,3166.0,3.3,428.0,16.0,2014,februar
Oppland,2435.0,2.5,104.0,4.0,2014,februar
Buskerud,4266.0,3.0,694.0,19.0,2014,februar
Vestfold,4093.0,3.3,292.0,8.0,2014,februar
Telemark,2930.0,3.4,-64.0,-2.0,2014,februar
Aust-Agder,2172.0,3.8,235.0,12.0,2014,februar
Vest-Agder,2800.0,3.1,54.0,2.0,2014,februar
Rogaland,5484.0,2.2,1132.0,26.0,2014,februar
Hordaland,6169.0,2.3,562.0,10.0,2014,februar
Sogn og Fjordane,1187.0,2.1,115.0,11.0,2014,februar
Møre og Romsdal,3078.0,2.3,275.0,10.0,2014,februar
Sør-Trøndelag,4190.0,2.6,416.0,11.0,2014,februar
Nord-Trøndelag,2000.0,3.0,286.0,17.0,2014,februar
Nordland,3531.0,2.9,-181.0,-5.0,2014,februar
Troms,1975.0,2.3,28.0,1.0,2014,februar
Finnmark,1386.0,3.6,116.0,9.0,2014,februar
Øvrige områder,13.0,,10.0,333.0,2014,februar
Ukjent,123.0,,106.0,624.0,2014,februar
