Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2019,,,,,,2019,februar
I alt,68302.0,2.5,-1487.0,-2.0,2.5,2019,februar
Østfold,4489.0,3.1,229.0,5.0,3.0,2019,februar
Akershus,6760.0,2.1,139.0,2.0,2.0,2019,februar
Oslo,10318.0,2.7,239.0,2.0,2.7,2019,februar
Hedmark,2296.0,2.4,398.0,21.0,1.9,2019,februar
Oppland,1887.0,1.9,210.0,13.0,1.7,2019,februar
Buskerud,3747.0,2.6,241.0,7.0,2.4,2019,februar
Vestfold,3795.0,3.0,-34.0,-1.0,3.1,2019,februar
Telemark,2487.0,2.9,118.0,5.0,2.8,2019,februar
Aust-Agder,1485.0,2.6,-305.0,-17.0,3.2,2019,februar
Vest-Agder,2379.0,2.5,-174.0,-7.0,2.7,2019,februar
Rogaland,6386.0,2.5,-1633.0,-20.0,3.2,2019,februar
Hordaland,7399.0,2.7,-671.0,-8.0,2.9,2019,februar
Sogn og Fjordane,1029.0,1.8,74.0,8.0,1.6,2019,februar
Møre og Romsdal,3321.0,2.4,-309.0,-9.0,2.6,2019,februar
Nordland,2659.0,2.1,50.0,2.0,2.1,2019,februar
Troms Romsa,1604.0,1.8,69.0,4.0,1.7,2019,februar
Finnmark Finnmárku,1206.0,3.0,51.0,4.0,2.9,2019,februar
Trøndelag,5039.0,2.1,-186.0,-4.0,2.2,2019,februar
Øvrige områder,8.0,,1.0,14.0,,2019,februar
Ukjent,8.0,,,,,2019,februar
