Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Oktober 2013,,,,,2013,oktober
I alt,68002.0,2.5,7245.0,12.0,2013,oktober
Østfold,4774.0,3.4,389.0,9.0,2013,oktober
Akershus,7047.0,2.3,992.0,16.0,2013,oktober
Oslo,12197.0,3.5,1458.0,14.0,2013,oktober
Hedmark,2612.0,2.7,330.0,14.0,2013,oktober
Oppland,2048.0,2.1,62.0,3.0,2013,oktober
Buskerud,3525.0,2.5,393.0,13.0,2013,oktober
Vestfold,3584.0,2.9,208.0,6.0,2013,oktober
Telemark,2417.0,2.8,-212.0,-8.0,2013,oktober
Aust-Agder,1862.0,3.3,272.0,17.0,2013,oktober
Vest-Agder,2424.0,2.7,-60.0,-2.0,2013,oktober
Rogaland,4833.0,2.0,953.0,25.0,2013,oktober
Hordaland,5460.0,2.0,685.0,14.0,2013,oktober
Sogn og Fjordane,989.0,1.7,112.0,13.0,2013,oktober
Møre og Romsdal,2690.0,2.0,396.0,17.0,2013,oktober
Sør-Trøndelag,3457.0,2.2,188.0,6.0,2013,oktober
Nord-Trøndelag,1542.0,2.3,209.0,16.0,2013,oktober
Nordland,3338.0,2.7,378.0,13.0,2013,oktober
Troms,1756.0,2.1,184.0,12.0,2013,oktober
Finnmark,1401.0,3.6,280.0,25.0,2013,oktober
Øvrige områder,10.0,,3.0,43.0,2013,oktober
Ukjent,36.0,,25.0,227.0,2013,oktober
