Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2024,,,,,,2024,september
I alt,58860.0,2.0,6479.0,12.0,1.8,2024,september
Oslo,10695.0,2.6,1341.0,14.0,2.3,2024,september
Rogaland,4673.0,1.8,405.0,9.0,1.7,2024,september
Møre og Romsdal,2286.0,1.6,232.0,11.0,1.5,2024,september
Nordland - Nordlánnda,1831.0,1.5,230.0,14.0,1.3,2024,september
Østfold,4044.0,2.7,234.0,6.0,2.5,2024,september
Akershus,8494.0,2.2,995.0,13.0,2.0,2024,september
Buskerud,3069.0,2.2,439.0,17.0,1.9,2024,september
Innlandet,3253.0,1.7,381.0,13.0,1.5,2024,september
Vestfold,3068.0,2.4,432.0,16.0,2.1,2024,september
Telemark,2039.0,2.4,219.0,12.0,2.1,2024,september
Agder,3312.0,2.1,358.0,12.0,1.9,2024,september
Vestland,5784.0,1.7,199.0,4.0,1.6,2024,september
Trøndelag - Trööndelage,4243.0,1.7,792.0,23.0,1.4,2024,september
Troms - Romsa - Tromssa ,1132.0,1.3,89.0,9.0,1.2,2024,september
Finnmark - Finnmárku - Finmarkku,911.0,2.3,124.0,16.0,2.0,2024,september
Øvrige områder,18.0,,14.0,350.0,,2024,september
Ukjent,8.0,,-5.0,-38.0,,2024,september
