Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2017,,,,,,2017,oktober
I alt,66012.0,2.4,-11810.0,-15.0,2.8,2017,oktober
Østfold,4053.0,2.8,-111.0,-3.0,2.9,2017,oktober
Akershus,6386.0,2.0,-879.0,-12.0,2.3,2017,oktober
Oslo,9830.0,2.6,-1251.0,-11.0,3.0,2017,oktober
Hedmark,1730.0,1.8,-176.0,-9.0,1.9,2017,oktober
Oppland,1415.0,1.4,-305.0,-18.0,1.8,2017,oktober
Buskerud,3251.0,2.2,-520.0,-14.0,2.6,2017,oktober
Vestfold,3489.0,2.8,-326.0,-9.0,3.0,2017,oktober
Telemark,2067.0,2.4,-188.0,-8.0,2.6,2017,oktober
Aust-Agder,1719.0,3.0,-255.0,-13.0,3.4,2017,oktober
Vest-Agder,2536.0,2.7,-640.0,-20.0,3.3,2017,oktober
Rogaland,8356.0,3.3,-3052.0,-27.0,4.4,2017,oktober
Hordaland,7447.0,2.7,-1600.0,-18.0,3.2,2017,oktober
Sogn og Fjordane,776.0,1.3,-118.0,-13.0,1.5,2017,oktober
Møre og Romsdal,3476.0,2.5,-805.0,-19.0,3.0,2017,oktober
Sør-Trøndelag,3302.0,1.9,-631.0,-16.0,2.3,2017,oktober
Nord-Trøndelag,1303.0,1.8,-108.0,-8.0,2.0,2017,oktober
Nordland,2407.0,1.9,-457.0,-16.0,2.3,2017,oktober
Troms,1405.0,1.6,-226.0,-14.0,1.9,2017,oktober
Finnmark,1055.0,2.6,-148.0,-12.0,3.0,2017,oktober
Øvrige områder,8.0,,-10.0,-56.0,,2017,oktober
Ukjent,,,,,,2017,oktober
